sample.name,injection.order,batch,group,class
Peak area - S10_GoatLiver_4 - No Normalization,64,2,1,Subject
Peak area - S10_QCS_1 - No Normalization,65,2,1,QC
Peak area - S10_QCS_2 - No Normalization,66,2,1,QC
Peak area - S10_QCS_3 - No Normalization,67,2,1,QC
Peak area - S10_QCS_4 - No Normalization,68,2,1,QC
Peak area - S10_QCS_5 - No Normalization,69,2,1,QC
Peak area - S10_QCS_6 - No Normalization,70,2,1,QC
Peak area - S11_ChickenLiver_3 - No Normalization,71,2,1,Subject
Peak area - S11_QCS_1 - No Normalization,72,2,1,QC
Peak area - S11_QCS_2 - No Normalization,73,2,1,QC
Peak area - S11_QCS_3 - No Normalization,74,2,1,QC
Peak area - S11_QCS_4 - No Normalization,75,2,1,QC
Peak area - S11_QCS_5 - No Normalization,76,2,1,QC
Peak area - S11_QCS_6 - No Normalization,77,2,1,QC
Peak area - S12_ChickenLiver_4 - No Normalization,78,2,1,Subject
Peak area - S12_QCS_1 - No Normalization,79,2,1,QC
Peak area - S12_QCS_2 - No Normalization,80,2,1,QC
Peak area - S12_QCS_3 - No Normalization,81,2,1,QC
Peak area - S12_QCS_4 - No Normalization,82,2,1,QC
Peak area - S12_QCS_5 - No Normalization,83,2,1,QC
Peak area - S12_QCS_6 - No Normalization,84,2,1,QC
Peak area - S13_ChickenHeart_5 - No Normalization,85,3,1,Subject
Peak area - S13_QCS_1 - No Normalization,86,3,1,QC
Peak area - S13_QCS_2 - No Normalization,87,3,1,QC
Peak area - S13_QCS_3 - No Normalization,88,3,1,QC
Peak area - S13_QCS_4 - No Normalization,89,3,1,QC
Peak area - S13_QCS_5 - No Normalization,90,3,1,QC
Peak area - S13_QCS_6 - No Normalization,91,3,1,QC
Peak area - S14_GoatLiver_5 - No Normalization,92,3,1,Subject
Peak area - S14_QCS_1 - No Normalization,93,3,1,QC
Peak area - S14_QCS_2 - No Normalization,94,3,1,QC
Peak area - S14_QCS_3 - No Normalization,95,3,1,QC
Peak area - S14_QCS_4 - No Normalization,96,3,1,QC
Peak area - S14_QCS_5 - No Normalization,97,3,1,QC
Peak area - S14_QCS_6 - No Normalization,98,3,1,QC
Peak area - S15_ChickenLiver_5 - No Normalization,99,3,1,Subject
Peak area - S15_QCS_1 - No Normalization,100,3,1,QC
Peak area - S15_QCS_2 - No Normalization,101,3,1,QC
Peak area - S15_QCS_3 - No Normalization,102,3,1,QC
Peak area - S15_QCS_4 - No Normalization,103,3,1,QC
Peak area - S15_QCS_5 - No Normalization,104,3,1,QC
Peak area - S15_QCS_6 - No Normalization,105,3,1,QC
