meta.name,Peak area - S10_GoatLiver_4 - No Normalization,Peak area - S11_ChickenLiver_3 - No Normalization,Peak area - S12_ChickenLiver_4 - No Normalization,Peak area - S13_ChickenHeart_5 - No Normalization,Peak area - S14_GoatLiver_5 - No Normalization,Peak area - S15_ChickenLiver_5 - No Normalization,Peak area - S16_ChickenLiver_6 - No Normalization,Peak area - S17_GoatLiver_6 - No Normalization,Peak area - S18_ChickenHeart_6 - No Normalization,Peak area - S1_ChickenHeart_1 - No Normalization,Peak area - S2_ChickenHeart_2 - No Normalization,Peak area - S3_ChickenLiver_1 - No Normalization,Peak area - S4_GoatLiver_1 - No Normalization,Peak area - S5_ChickenLiver_2 - No Normalization,Peak area - S6_GoatLiver_2 - No Normalization,Peak area - S7_ChickenHeart_3 - No Normalization,Peak area - S8_GoatLiver_3 - No Normalization,Peak area - S9_ChickenHeart_4 - No Normalization,Peak area - S10_QCS_1 - No Normalization,Peak area - S10_QCS_2 - No Normalization,Peak area - S10_QCS_3 - No Normalization,Peak area - S10_QCS_4 - No Normalization,Peak area - S10_QCS_5 - No Normalization,Peak area - S10_QCS_6 - No Normalization,Peak area - S11_QCS_1 - No Normalization,Peak area - S11_QCS_2 - No Normalization,Peak area - S11_QCS_3 - No Normalization,Peak area - S11_QCS_4 - No Normalization,Peak area - S11_QCS_5 - No Normalization,Peak area - S11_QCS_6 - No Normalization,Peak area - S12_QCS_1 - No Normalization,Peak area - S12_QCS_2 - No Normalization,Peak area - S12_QCS_3 - No Normalization,Peak area - S12_QCS_4 - No Normalization,Peak area - S12_QCS_5 - No Normalization,Peak area - S12_QCS_6 - No Normalization,Peak area - S13_QCS_1 - No Normalization,Peak area - S13_QCS_2 - No Normalization,Peak area - S13_QCS_3 - No Normalization,Peak area - S13_QCS_4 - No Normalization,Peak area - S13_QCS_5 - No Normalization,Peak area - S13_QCS_6 - No Normalization,Peak area - S14_QCS_1 - No Normalization,Peak area - S14_QCS_2 - No Normalization,Peak area - S14_QCS_3 - No Normalization,Peak area - S14_QCS_4 - No Normalization,Peak area - S14_QCS_5 - No Normalization,Peak area - S14_QCS_6 - No Normalization,Peak area - S15_QCS_1 - No Normalization,Peak area - S15_QCS_2 - No Normalization,Peak area - S15_QCS_3 - No Normalization,Peak area - S15_QCS_4 - No Normalization,Peak area - S15_QCS_5 - No Normalization,Peak area - S15_QCS_6 - No Normalization,Peak area - S16_QCS_1 - No Normalization,Peak area - S16_QCS_2 - No Normalization,Peak area - S16_QCS_3 - No Normalization,Peak area - S16_QCS_4 - No Normalization,Peak area - S16_QCS_5 - No Normalization,Peak area - S16_QCS_6 - No Normalization,Peak area - S17_QCS_1 - No Normalization,Peak area - S17_QCS_2 - No Normalization,Peak area - S17_QCS_3 - No Normalization,Peak area - S17_QCS_4 - No Normalization,Peak area - S17_QCS_5 - No Normalization,Peak area - S17_QCS_6 - No Normalization,Peak area - S18_QCS_1 - No Normalization,Peak area - S18_QCS_2 - No Normalization,Peak area - S18_QCS_3 - No Normalization,Peak area - S18_QCS_4 - No Normalization,Peak area - S18_QCS_5 - No Normalization,Peak area - S18_QCS_6 - No Normalization,Peak area - S1_QCS_1 - No Normalization,Peak area - S1_QCS_2 - No Normalization,Peak area - S1_QCS_3 - No Normalization,Peak area - S1_QCS_4 - No Normalization,Peak area - S1_QCS_5 - No Normalization,Peak area - S1_QCS_6 - No Normalization,Peak area - S2_QCS_1 - No Normalization,Peak area - S2_QCS_2 - No Normalization,Peak area - S2_QCS_3 - No Normalization,Peak area - S2_QCS_4 - No Normalization,Peak area - S2_QCS_5 - No Normalization,Peak area - S2_QCS_6 - No Normalization,Peak area - S3_QCS_1 - No Normalization,Peak area - S3_QCS_2 - No Normalization,Peak area - S3_QCS_3 - No Normalization,Peak area - S3_QCS_4 - No Normalization,Peak area - S3_QCS_5 - No Normalization,Peak area - S3_QCS_6 - No Normalization,Peak area - S4_QCS_1 - No Normalization,Peak area - S4_QCS_2 - No Normalization,Peak area - S4_QCS_3 - No Normalization,Peak area - S4_QCS_4 - No Normalization,Peak area - S4_QCS_5 - No Normalization,Peak area - S4_QCS_6 - No Normalization,Peak area - S5_QCS_1 - No Normalization,Peak area - S5_QCS_2 - No Normalization,Peak area - S5_QCS_3 - No Normalization,Peak area - S5_QCS_4 - No Normalization,Peak area - S5_QCS_5 - No Normalization,Peak area - S5_QCS_6 - No Normalization,Peak area - S6_QCS_1 - No Normalization,Peak area - S6_QCS_2 - No Normalization,Peak area - S6_QCS_3 - No Normalization,Peak area - S6_QCS_4 - No Normalization,Peak area - S6_QCS_5 - No Normalization,Peak area - S6_QCS_6 - No Normalization,Peak area - S7_QCS_1 - No Normalization,Peak area - S7_QCS_2 - No Normalization,Peak area - S7_QCS_3 - No Normalization,Peak area - S7_QCS_4 - No Normalization,Peak area - S7_QCS_5 - No Normalization,Peak area - S7_QCS_6 - No Normalization,Peak area - S8_QCS_1 - No Normalization,Peak area - S8_QCS_2 - No Normalization,Peak area - S8_QCS_3 - No Normalization,Peak area - S8_QCS_4 - No Normalization,Peak area - S8_QCS_5 - No Normalization,Peak area - S8_QCS_6 - No Normalization,Peak area - S9_QCS_1 - No Normalization,Peak area - S9_QCS_2 - No Normalization,Peak area - S9_QCS_3 - No Normalization,Peak area - S9_QCS_4 - No Normalization,Peak area - S9_QCS_5 - No Normalization,Peak area - S9_QCS_6 - No Normalization
260.186,2306.97,2598.24,2494.2527,-124.238235,1701.1002,2431.1377,2517.3315,2495.2366,658.05566,-286.39578,591.7401,1945.8436,1875.4235,2498.6128,2570.4849,390.55212,1730.6957,907.5834,9376.347,9946.387,7119.228,7049.223,7826.986,11890.672,10874.601,10688.915,7755.642,7593.706,7556.702,11524.338,13218.197,11425.561,8191.9136,7353.111,7587.891,10518.101,13078.833,12089.848,7519.3853,7151.4517,7672.4023,12780.225,10074.775,10436.251,9016.252,8639.5205,9707.244,11761.535,13431.552,12978.499,8847.697,8001.3364,7458.531,12262.744,9281.844,10724.156,6569.095,6721.8223,7305.6885,11109.479,12076.007,12269.064,8194.082,8034.697,7479.3022,12888.178,13831.14,13247.509,8745.249,8810.192,7679.115,12701.465,13501.815,13696.7,8389.118,7985.8413,8142.1724,14246.561,13340.603,14364.278,7584.696,7842.6724,8072.421,13952.2705,15119.956,15608.326,10221.435,7426.96,7203.6216,12802.227,9155.753,9222.577,8644.224,8262.378,8260.565,8401.853,9450.352,8676.725,10046.306,8996.262,8645.546,7587.32,10223.068,9910.593,10625.714,9674.079,10055.989,8330.198,9980.815,11597.059,7113.7593,7832.1455,7786.978,15412.382,13856.666,13535.241,7838.655,7900.9414,7962.361,14216.011,13391.221,12719.592,8194.685,7772.91,7456.9165,12988.521
267.187,1467.9421,1239.2809,1239.1683,1098.595,1132.1887,1124.8188,1266.9792,1560.4354,1182.8086,852.9501,599.0472,552.7981,1076.7058,1180.6603,1437.1305,1204.6974,1101.4017,1603.3141,5439.384,5816.35,3804.222,3998.983,4534.6016,7340.041,6207.3296,6171.1157,3915.0444,3982.1985,3953.7173,6827.253,7597.804,6505.495,4626.6353,4007.1284,4108.017,6230.8687,7097.644,6732.02,4054.5483,3971.967,4175.8896,7898.5723,6309.5596,6557.261,4827.5063,4666.377,5344.922,7284.8955,7518.355,7079.9907,4278.472,3660.0784,3367.5024,6525.168,4682.531,5686.0703,3309.9636,3763.8606,4162.961,6520.6597,7008.156,7243.6924,4282.177,4338.7153,3844.0342,7849.8457,8134.4976,7783.9805,4879.6255,4910.5664,4131.4126,7734.698,7804.9053,7798.254,3645.8745,3831.8599,4149.0938,8087.703,7549.321,8354.549,3903.969,4254.8706,4461.7627,8097.89,9105.922,9168.775,5222.9585,3607.3347,3526.8252,6528.707,4715.427,4836.085,4436.233,4616.5264,4577.1577,4700.2495,4870.189,4485.666,5080.1333,4793.972,4592.399,3995.4592,5896.437,5663.938,5994.316,5522.214,5780.413,4881.931,5814.5586,7035.383,3390.332,4093.2546,4092.1277,9151.124,7379.859,7328.779,3672.9006,4133.2183,4207.8706,8241.759,7480.1255,6991.575,3746.0312,3555.6897,3423.691,7401.626
102.152,138.50078,780.64624,828.4194,168.45644,149.37021,769.0745,789.8557,163.76117,243.34067,170.85864,188.21883,1112.5491,200.47456,775.97986,174.01076,213.27484,181.12553,248.60048,664.5678,708.19495,858.57,758.50464,737.16095,675.7871,732.9906,720.36426,793.9253,669.9351,656.6846,648.10095,701.1388,644.91064,633.5246,564.0459,549.0113,555.65924,850.0253,831.4268,796.93427,691.16315,693.23083,718.3676,611.023,600.1495,643.14404,576.08636,572.47095,577.5087,781.04346,783.7278,812.8622,648.6369,623.1968,652.6388,842.4884,798.0488,822.53076,681.49384,647.35474,646.25006,863.78125,850.8624,893.93536,854.59607,846.5923,794.3339,691.2364,696.5925,722.5558,604.4151,596.98175,626.0605,852.0466,855.9589,943.3393,823.45966,791.1394,831.68713,800.49164,746.5042,750.97345,678.08636,647.17773,715.7287,621.08765,639.9561,614.22894,560.7002,553.50415,643.5767,899.90204,891.24786,886.0192,756.1242,772.14716,761.71234,813.17365,800.3286,850.56854,762.987,761.35626,738.2738,665.6962,677.37,729.7601,673.1197,686.4255,621.7828,752.9799,747.3687,869.78906,830.8569,809.3842,814.3045,837.98785,807.822,843.0849,661.54236,648.0237,666.5563,855.6551,861.31274,892.2093,704.6216,682.49084,696.73895
104.146,246302.16,464908.03,489379.84,441282.47,298413.1,522016.84,440228.34,244032.53,358949.53,476386.72,407203.1,702788.3,289522.53,460463.34,226631.58,428146.25,317085.72,414901.25,12027.679,12527.01,10389.182,9145.372,10626.816,13755.143,12495.525,12369.147,8802.826,11730.379,11843.426,13741.432,15111.336,15836.376,13702.661,13387.084,13310.167,14064.249,11647.915,10667.864,7558.955,11568.357,11810.338,12759.08,13622.011,13537.451,12979.021,14535.921,14811.605,13655.931,12144.334,12181.677,10240.702,14618.13,15098.418,15338.993,14202.973,15679.737,12908.076,12046.375,13201.245,15428.891,10368.384,10389.091,8006.9893,8794.391,9309.5625,12788.615,15926.432,15874.931,13563.666,15360.245,14859.243,14931.758,12403.209,13094.544,11400.496,10724.725,10894.983,13116.725,14410.262,15525.479,13268.559,13265.556,13892.977,16481.23,13996.137,14506.074,16133.506,13945.537,13021.661,15843.43,14457.542,13720.531,14248.332,8764.295,8649.31,9277.093,11848.87,11047.537,10384.621,11195.982,10870.015,10610.013,14668.82,14482.341,13909.146,13586.623,13461.758,14229.318,10629.4795,11631.337,8162.823,9628.341,10097.888,12526.953,16492.533,16595.77,12571.989,11417.192,12099.864,15282.563,9785.41,9538.308,6688.671,12882.892,12974.88,15696.779
116.105,299.5325,1153.3737,1037.9149,332.48196,408.42966,1335.1451,1009.07074,294.54044,295.9049,288.4512,236.43976,2008.1685,407.79825,1062.9943,301.95685,363.95456,439.26978,386.02335,403.71674,417.14792,458.3303,406.8663,400.41992,407.48407,417.74646,410.47757,406.6832,378.34442,374.7931,387.1685,426.8173,393.1697,371.4307,342.52945,338.75784,353.97385,471.73303,447.63464,377.54974,370.51834,384.4535,416.26114,370.39706,371.6038,399.59006,375.47592,379.55524,373.72308,430.26486,429.3501,418.50348,358.41388,348.6853,374.95337,470.99484,455.73425,453.36288,391.29657,381.93604,390.93094,445.16617,440.15726,422.09277,412.31088,407.4849,428.03903,414.6596,413.7396,407.8172,370.5718,361.77744,380.23697,430.26492,434.54153,421.92627,397.4708,394.93524,434.9131,421.56824,420.9514,385.78745,381.473,380.7349,419.822,386.59427,394.12875,369.87064,362.08368,361.19366,409.80652,510.4721,506.93948,500.70474,426.71237,433.5775,423.90646,400.10742,383.14578,413.12982,384.82895,385.03003,365.3742,394.80783,390.1096,407.65073,384.58936,388.67627,360.04767,371.11588,378.9725,389.9046,406.17746,404.07947,445.18283,478.0247,462.48328,454.88583,387.73563,385.38855,410.4957,447.1732,444.15964,422.54675,365.47968,358.17557,392.25342
118.148,605.03894,2775.7573,2582.5098,810.61566,839.3009,3175.8254,2461.5066,591.69934,642.7753,798.6036,745.9557,4881.184,814.0894,2606.5896,597.8683,860.84235,893.1623,904.9967,506.91412,531.7107,534.74884,470.48654,484.88986,585.9688,573.1664,565.17255,498.04446,476.236,471.30478,579.2202,659.8274,563.1265,461.21985,416.56802,416.05902,503.7446,674.42163,632.3585,471.27527,443.2998,456.82806,618.06824,497.0561,502.08914,472.11508,454.4145,480.42136,540.2476,677.42535,666.59955,571.57935,492.07556,469.94662,611.0657,609.6176,624.6092,530.7208,450.10114,457.24377,555.6077,688.27997,685.6145,560.8289,536.0627,522.1172,680.57465,644.4863,634.2757,511.13193,475.77835,445.7793,589.1365,743.4723,741.5756,598.7661,518.68744,507.33347,709.38824,653.23035,658.61597,482.94513,470.04108,467.97925,651.72705,658.405,675.1708,538.0369,440.54724,426.8728,644.52954,691.3035,695.0823,628.0164,525.0033,533.2802,567.4211,542.99725,506.79297,584.74963,524.6324,519.2078,453.33365,533.9707,528.3305,536.25653,506.30252,517.8051,470.565,582.7319,628.3574,518.0471,512.35956,502.43192,725.34686,728.97235,690.0657,532.4372,452.75464,453.3171,617.24524,714.3996,702.17114,570.7187,500.65475,476.89935,655.4066
120.141,44.581707,200.47144,187.78879,82.679306,58.610004,237.32088,175.75984,43.196712,64.98093,77.308044,64.08162,372.1489,60.02274,184.1257,46.01352,84.39896,65.00805,86.20098,66.33407,67.858055,76.92099,68.3874,66.63164,63.867928,66.95446,65.839134,68.015396,62.203373,61.510517,60.697025,66.18502,62.698963,62.360886,57.69993,56.67667,57.178337,72.280304,69.84623,64.9388,61.94157,62.63289,62.83115,59.585476,59.252296,63.18014,59.552986,59.30392,57.54733,64.67168,64.78042,66.167336,58.656647,57.80469,57.76543,77.488464,74.35308,77.09124,66.79296,64.805435,63.582592,70.48601,69.53121,71.18268,69.61513,70.018394,67.06088,64.638794,65.052734,67.09874,59.915833,59.88598,59.688732,67.320656,67.43972,70.85423,65.88666,64.997604,65.532326,64.96577,63.391365,64.86965,62.519547,62.00744,61.72285,60.34879,60.196762,61.64241,57.453133,57.276646,58.863552,82.28353,81.41308,81.656525,69.44174,70.61211,69.286804,67.91196,66.02983,68.63936,64.03001,64.339584,61.528316,64.647194,64.32312,66.493744,63.41798,63.712734,60.925297,64.02991,63.82708,70.01748,67.300865,66.41244,66.67057,74.22679,72.31993,75.712814,62.56647,62.120758,61.46674,67.76554,67.99385,69.134346,60.76057,60.093437,59.939777
132.125,3852.5974,6516.604,6736.682,23741.52,5098.881,7832.681,6047.531,3938.6294,18045.225,26935.707,22417.094,10295.29,4570.6597,6249.115,3862.7742,23470.305,5105.464,20811.773,2074.727,2128.1628,2004.4028,1860.7274,1925.4978,2306.481,2169.8816,2158.3528,1920.112,1943.6615,1943.3428,2304.4946,2483.531,2260.1133,1904.8608,1741.1119,1745.1404,2028.3794,2510.5588,2379.2798,1747.3259,1775.4427,1863.1595,2398.0894,2047.5513,2070.6755,2034.5259,1974.3661,2088.319,2217.8794,2501.1125,2474.6362,2115.4946,1915.1136,1828.0431,2397.0652,2123.392,2212.702,1937.9379,1746.583,1790.282,2170.7969,2424.8474,2429.068,2038.7443,2025.325,1978.1691,2460.702,2465.8984,2414.0457,1990.1753,1998.0424,1875.2954,2340.0774,2517.9016,2560.034,2194.5654,2050.1829,2068.2969,2639.555,2633.8848,2684.4092,2065.7583,2014.6248,2007.5402,2661.7878,2633.5698,2737.1047,2199.1511,1795.6133,1750.0873,2540.9146,2287.307,2307.3896,2134.0854,1882.3004,1874.1659,2004.6451,2004.6039,1883.5071,2124.7605,2059.6082,2031.5504,1810.9181,2188.8865,2174.0154,2222.3293,2117.6633,2159.0325,2000.1711,2094.8613,2232.9778,1833.7465,1941.7949,1954.0243,2648.421,2604.5105,2545.0798,2083.2285,1932.6708,1929.1678,2576.0828,2533.0623,2470.6145,2074.8948,1964.4921,1896.8734,2505.7373
140.122,599.89026,2382.3264,2507.7048,800.60376,792.2758,2590.7083,2362.6172,657.0336,673.52325,1216.048,1088.1456,3164.8274,714.37427,2400.8782,696.36145,862.1951,841.9836,837.5304,912.1606,973.253,1071.1534,1026.349,1014.6711,1013.63715,989.5123,979.04846,1196.4269,990.5778,963.19867,964.25635,912.5459,835.1288,819.57837,806.9266,821.6349,834.49854,1272.552,1263.1575,1210.3237,1006.87396,992.724,1141.7444,892.385,883.1402,897.9517,846.62933,870.98425,928.4327,1292.9968,1281.98,1351.2885,1121.1033,1088.289,1098.523,1022.2846,1003.48016,945.8133,822.01385,794.9546,876.62225,1473.1313,1464.3052,1554.0691,1449.6425,1436.5553,1363.2689,1007.7843,1001.415,904.6311,836.54675,827.4073,952.97046,1636.0593,1643.9384,2026.9031,1534.3164,1355.6964,1519.886,1427.3701,1265.54,1283.3005,1031.5511,951.07275,1187.2646,1100.465,1136.1537,1106.5369,871.6118,848.4676,1103.4955,1138.1057,1124.2979,1106.5566,927.26746,945.79346,926.7205,1184.4993,1214.3278,1307.1471,1162.9829,1150.5925,1210.1548,919.2038,923.2743,1057.0842,1017.22595,1031.2733,935.49805,1342.5223,1327.815,1465.7822,1348.3053,1299.4586,1438.4286,1262.1703,1215.884,1145.0238,918.51385,900.5349,1051.5645,1541.768,1562.3123,1662.6238,1337.487,1255.2048,1270.243
147.12,3231.623,7183.6836,6774.8306,5123.931,5033.735,8940.678,6194.604,3161.2979,4219.5947,5431.741,4389.5913,13821.747,4677.762,6438.353,3366.382,5295.8145,5039.594,5180.296,3945.9802,4054.6548,4494.4097,3931.1018,3799.1736,3684.8564,3774.7454,3684.6301,3812.76,3555.2397,3518.6772,3394.8704,3838.4324,3577.1995,3504.274,3197.339,3149.6885,3116.8218,4252.0493,4042.378,3570.6934,3571.6794,3710.4172,3710.7947,3318.647,3301.586,3835.0269,3506.5789,3485.1726,3253.8167,3792.4658,3824.9192,4014.1301,3450.3677,3382.7998,3363.4878,4496.4233,4312.187,4511.152,3819.4844,3653.1455,3561.372,3894.708,3843.5435,4065.7053,4008.674,4065.3247,3732.6536,3680.9172,3681.5317,3793.0737,3398.093,3398.5886,3308.0542,3642.6438,3761.1912,4451.737,4088.878,4088.9153,3978.8809,4133.1675,4047.2402,4232.788,3986.0437,3870.1458,3983.557,3402.055,3495.0872,3644.4844,3481.761,3461.9275,3740.6462,4826.344,4785.8975,4746.1523,3940.7097,3991.0613,3980.8794,3611.263,3440.3518,3775.4128,3603.504,3590.516,3416.5586,3828.2998,3794.913,4021.8586,3754.218,3784.971,3510.867,3375.161,3299.1965,3981.602,4264.893,4261.944,4100.9023,4263.198,4203.636,4563.726,3826.767,3780.0994,3682.8323,3883.6138,3896.8362,4257.703,3690.0793,3633.63,3484.0085
