meta.name,Peak area - S10_GoatLiver_4 - Total Ion Count,Peak area - S11_ChickenLiver_3 - Total Ion Count,Peak area - S12_ChickenLiver_4 - Total Ion Count,Peak area - S13_ChickenHeart_5 - Total Ion Count,Peak area - S14_GoatLiver_5 - Total Ion Count,Peak area - S15_ChickenLiver_5 - Total Ion Count,Peak area - S16_ChickenLiver_6 - Total Ion Count,Peak area - S17_GoatLiver_6 - Total Ion Count,Peak area - S18_ChickenHeart_6 - Total Ion Count,Peak area - S1_ChickenHeart_1 - Total Ion Count,Peak area - S2_ChickenHeart_2 - Total Ion Count,Peak area - S3_ChickenLiver_1 - Total Ion Count,Peak area - S4_GoatLiver_1 - Total Ion Count,Peak area - S5_ChickenLiver_2 - Total Ion Count,Peak area - S6_GoatLiver_2 - Total Ion Count,Peak area - S7_ChickenHeart_3 - Total Ion Count,Peak area - S8_GoatLiver_3 - Total Ion Count,Peak area - S9_ChickenHeart_4 - Total Ion Count,Peak area - S10_QCS_1 - Total Ion Count,Peak area - S10_QCS_2 - Total Ion Count,Peak area - S10_QCS_3 - Total Ion Count,Peak area - S10_QCS_4 - Total Ion Count,Peak area - S10_QCS_5 - Total Ion Count,Peak area - S10_QCS_6 - Total Ion Count,Peak area - S11_QCS_1 - Total Ion Count,Peak area - S11_QCS_2 - Total Ion Count,Peak area - S11_QCS_3 - Total Ion Count,Peak area - S11_QCS_4 - Total Ion Count,Peak area - S11_QCS_5 - Total Ion Count,Peak area - S11_QCS_6 - Total Ion Count,Peak area - S12_QCS_1 - Total Ion Count,Peak area - S12_QCS_2 - Total Ion Count,Peak area - S12_QCS_3 - Total Ion Count,Peak area - S12_QCS_4 - Total Ion Count,Peak area - S12_QCS_5 - Total Ion Count,Peak area - S12_QCS_6 - Total Ion Count,Peak area - S13_QCS_1 - Total Ion Count,Peak area - S13_QCS_2 - Total Ion Count,Peak area - S13_QCS_3 - Total Ion Count,Peak area - S13_QCS_4 - Total Ion Count,Peak area - S13_QCS_5 - Total Ion Count,Peak area - S13_QCS_6 - Total Ion Count,Peak area - S14_QCS_1 - Total Ion Count,Peak area - S14_QCS_2 - Total Ion Count,Peak area - S14_QCS_3 - Total Ion Count,Peak area - S14_QCS_4 - Total Ion Count,Peak area - S14_QCS_5 - Total Ion Count,Peak area - S14_QCS_6 - Total Ion Count,Peak area - S15_QCS_1 - Total Ion Count,Peak area - S15_QCS_2 - Total Ion Count,Peak area - S15_QCS_3 - Total Ion Count,Peak area - S15_QCS_4 - Total Ion Count,Peak area - S15_QCS_5 - Total Ion Count,Peak area - S15_QCS_6 - Total Ion Count,Peak area - S16_QCS_1 - Total Ion Count,Peak area - S16_QCS_2 - Total Ion Count,Peak area - S16_QCS_3 - Total Ion Count,Peak area - S16_QCS_4 - Total Ion Count,Peak area - S16_QCS_5 - Total Ion Count,Peak area - S16_QCS_6 - Total Ion Count,Peak area - S17_QCS_1 - Total Ion Count,Peak area - S17_QCS_2 - Total Ion Count,Peak area - S17_QCS_3 - Total Ion Count,Peak area - S17_QCS_4 - Total Ion Count,Peak area - S17_QCS_5 - Total Ion Count,Peak area - S17_QCS_6 - Total Ion Count,Peak area - S18_QCS_1 - Total Ion Count,Peak area - S18_QCS_2 - Total Ion Count,Peak area - S18_QCS_3 - Total Ion Count,Peak area - S18_QCS_4 - Total Ion Count,Peak area - S18_QCS_5 - Total Ion Count,Peak area - S18_QCS_6 - Total Ion Count,Peak area - S1_QCS_1 - Total Ion Count,Peak area - S1_QCS_2 - Total Ion Count,Peak area - S1_QCS_3 - Total Ion Count,Peak area - S1_QCS_4 - Total Ion Count,Peak area - S1_QCS_5 - Total Ion Count,Peak area - S1_QCS_6 - Total Ion Count,Peak area - S2_QCS_1 - Total Ion Count,Peak area - S2_QCS_2 - Total Ion Count,Peak area - S2_QCS_3 - Total Ion Count,Peak area - S2_QCS_4 - Total Ion Count,Peak area - S2_QCS_5 - Total Ion Count,Peak area - S2_QCS_6 - Total Ion Count,Peak area - S3_QCS_1 - Total Ion Count,Peak area - S3_QCS_2 - Total Ion Count,Peak area - S3_QCS_3 - Total Ion Count,Peak area - S3_QCS_4 - Total Ion Count,Peak area - S3_QCS_5 - Total Ion Count,Peak area - S3_QCS_6 - Total Ion Count,Peak area - S4_QCS_1 - Total Ion Count,Peak area - S4_QCS_2 - Total Ion Count,Peak area - S4_QCS_3 - Total Ion Count,Peak area - S4_QCS_4 - Total Ion Count,Peak area - S4_QCS_5 - Total Ion Count,Peak area - S4_QCS_6 - Total Ion Count,Peak area - S5_QCS_1 - Total Ion Count,Peak area - S5_QCS_2 - Total Ion Count,Peak area - S5_QCS_3 - Total Ion Count,Peak area - S5_QCS_4 - Total Ion Count,Peak area - S5_QCS_5 - Total Ion Count,Peak area - S5_QCS_6 - Total Ion Count,Peak area - S6_QCS_1 - Total Ion Count,Peak area - S6_QCS_2 - Total Ion Count,Peak area - S6_QCS_3 - Total Ion Count,Peak area - S6_QCS_4 - Total Ion Count,Peak area - S6_QCS_5 - Total Ion Count,Peak area - S6_QCS_6 - Total Ion Count,Peak area - S7_QCS_1 - Total Ion Count,Peak area - S7_QCS_2 - Total Ion Count,Peak area - S7_QCS_3 - Total Ion Count,Peak area - S7_QCS_4 - Total Ion Count,Peak area - S7_QCS_5 - Total Ion Count,Peak area - S7_QCS_6 - Total Ion Count,Peak area - S8_QCS_1 - Total Ion Count,Peak area - S8_QCS_2 - Total Ion Count,Peak area - S8_QCS_3 - Total Ion Count,Peak area - S8_QCS_4 - Total Ion Count,Peak area - S8_QCS_5 - Total Ion Count,Peak area - S8_QCS_6 - Total Ion Count,Peak area - S9_QCS_1 - Total Ion Count,Peak area - S9_QCS_2 - Total Ion Count,Peak area - S9_QCS_3 - Total Ion Count,Peak area - S9_QCS_4 - Total Ion Count,Peak area - S9_QCS_5 - Total Ion Count,Peak area - S9_QCS_6 - Total Ion Count
260.186,1489.5856,1513.6105,1818.0555,816.07855,1747.0823,1313.4166,1686.611,1392.9204,669.9635,1351.8665,906.3072,1541.368,1753.354,1686.0167,1592.3926,602.8235,1727.3585,748.2316,8840.813,8540.398,4865.6294,4359.0107,5008.5493,8652.008,7026.938,6985.4004,5362.613,4584.305,4578.3066,7736.897,9226.799,8227.843,5293.612,4778.365,4840.6465,8165.004,9155.474,8845.311,5247.768,5182.338,5445.2866,10036.881,9273.233,9502.784,6982.9355,7344.243,8255.089,10501.293,11423.464,10938.242,6736.151,6367.6914,5685.236,10959.661,6666.0444,8224.671,4459.308,4609.5293,5127.8677,8820.262,8099.744,8290.272,4838.632,4619.405,4343.671,8873.254,10214.519,9774.871,5686.7417,6375.636,4919.8594,10195.06,9646.481,9706.724,5480.0327,5485.8755,5454.7256,9878.726,9356.338,10159.639,5170.372,5538.976,6010.5815,10756.736,11234.894,11449.037,7499.653,6206.3594,6141.748,9051.664,5494.6787,5774.3154,4639.2427,4786.351,4807.825,5647.953,8790.439,8621.846,8213.672,8172.245,7247.15,8348.427,8835.882,8683.577,8936.583,8273.696,8712.065,7690.2,9112.784,9664.945,6412.577,6108.985,5974.8154,11276.852,11781.413,11209.942,6851.965,6847.698,6756.1865,10773.099,10985.212,10721.315,6256.481,5731.4653,5877.6924,10754.862
267.187,951.7416,724.1565,821.86847,972.3813,793.6685,715.729,694.8962,707.82666,1320.7625,1521.5569,1262.0922,756.5086,1182.3768,777.70667,861.83014,1204.7843,814.6254,1098.5574,5519.764,5326.6304,2907.6992,2504.368,2901.045,5286.1675,4356.477,4364.053,3171.2512,2648.2012,2652.3418,4752.407,5579.2056,4891.34,3061.1604,2755.2378,2801.2146,4881.5537,5308.0845,5320.423,3073.5884,2918.1135,2934.3992,6250.9307,5625.9727,5748.399,3734.3936,3932.048,4523.354,6321.0425,6399.078,5852.3716,2966.5706,2767.0535,2564.6987,5545.1245,3838.1821,4805.9697,2590.172,2681.3176,3003.5212,5146.8984,5107.922,5255.7876,2886.9639,2725.54,2477.4966,5689.431,6396.2744,6106.584,3398.9097,3654.8855,2728.8184,6369.9956,5924.0405,5897.4365,2564.8184,2671.6543,2802.162,5804.335,5545.6865,6186.594,2855.1067,3158.2026,3428.6304,6556.15,6712.6206,6681.4766,3922.9236,3134.2852,3118.259,4763.894,3336.1062,3524.3018,2718.7808,2747.5803,2771.7087,3345.7427,5133.768,5041.756,4500.9346,4539.56,4045.1748,4838.686,5278.365,5123.626,5233.2217,4874.096,5151.3154,4659.565,5500.194,5995.6035,3621.3762,3413.8257,3285.634,7030.955,6983.822,6578.3823,3615.757,3650.6042,3642.9607,6264.653,6353.2817,6113.1284,3002.6748,2804.3887,2874.158,6254.239
102.152,196.98122,703.28143,812.96344,151.85794,199.44135,633.4327,764.03516,198.99629,189.94408,166.29573,174.76529,727.41156,194.7297,726.3649,204.06349,172.3485,204.73466,171.81757,437.23465,447.19934,445.28323,430.29294,429.0819,435.81616,461.30832,461.84735,472.9578,453.78555,453.78152,455.23346,416.8289,402.26294,412.6358,385.82816,375.68643,381.39108,468.1664,470.59155,454.55225,416.4138,417.1714,451.82852,381.3588,375.3116,359.61066,337.2789,334.28973,365.7114,481.4328,479.191,486.68616,417.8887,405.86444,430.2182,429.62305,416.92703,430.02942,396.25647,386.70264,399.7584,454.89297,456.66418,453.29562,441.82706,435.87527,449.83032,435.77823,437.3836,434.46457,400.84268,388.9045,436.5351,473.84058,469.33694,474.58484,453.85864,449.0297,459.60422,446.57248,432.96457,427.74796,412.6962,396.11832,431.67603,344.44394,347.88574,318.14645,322.88705,316.99902,370.3879,446.4584,445.59283,443.09174,434.78485,439.46857,440.72272,463.4605,461.43307,486.96872,472.42184,470.34375,456.5606,397.73633,408.53427,426.50223,415.80365,422.26974,396.55615,430.21063,430.38095,457.14987,434.83618,436.41397,431.80246,399.64774,373.61636,378.92838,346.26096,343.6831,352.45486,489.12457,490.4805,491.74533,417.98016,400.28198,426.73813
104.146,705935.2,973877.5,1066877.9,607692.56,609204.56,1131980,1010345.1,739099.56,622803.75,613256.9,620639.06,1073247.5,662984.6,979352.8,663721.8,579219.7,654031.56,641753.44,22836.26,22338.385,23104.611,23770.3,20975.133,20468.572,23226.27,22721.105,15953.449,17449.996,17368.434,20034.203,22621.555,24028.078,24541.428,23991.568,23871.725,26844.998,16692.92,17135.521,17638.564,15312.793,16697.158,16598.62,21922.598,22590.12,22121.973,21588.691,21754.883,23709.426,23198.736,23059.225,20216.93,22164.703,21651.355,25526.639,24292.979,24534.271,25120.707,24906.469,23765.287,25312.87,20720.422,19998.705,17816.701,18783.967,21055.725,19277.822,20780.137,21369.271,22776.514,20267.29,21814.18,21210.24,18167.125,18156.35,18633.48,18033.504,17758.86,19555.693,19864.275,21000.818,18559.123,17199.74,18565.969,19347.324,20999.623,22653.902,25493.781,22691.299,22364.203,23308.602,24024.77,23207.012,23626.326,21686.52,20787.818,24208.19,16358.897,16032.279,18273.996,19155.303,18910.314,14451.4795,22101.252,21222.795,21452.463,20856.215,21198.238,19933.123,23137.686,20164.47,18915.547,14287.878,15135.993,16062.202,25837.293,25086.102,23626.55,22097.607,21879.258,24196.82,19713.227,20346.812,16885.436,22141.984,21958.799,25361.725
116.105,657.56195,2181.2957,1947.1262,324.62238,699.7102,2615.9421,1928.6731,677.55817,363.65405,317.23505,320.81906,2659.8457,669.7601,2083.4248,672.1351,343.90027,715.10223,370.8168,441.39624,448.10385,440.14594,437.3372,434.40665,464.46893,450.66302,450.39975,430.45935,430.12756,430.57748,461.5505,457.83963,434.8423,416.97906,406.44034,402.85925,425.50284,444.837,443.83807,399.30685,406.38275,413.88586,467.0129,414.1677,415.47064,409.37082,403.48346,406.83792,427.98877,476.9328,463.53708,436.0308,408.94376,403.2677,441.1726,435.4868,437.31412,425.6727,418.5239,414.72003,431.82327,454.65466,456.9411,421.33072,417.12897,408.23148,460.37967,462.46344,459.06567,442.25375,434.35025,415.52066,465.90057,467.7083,466.18512,417.24127,419.90134,420.67044,465.12363,450.1787,453.10535,408.1866,411.71048,410.2501,462.1099,399.43134,406.68573,372.70605,395.9534,397.4263,439.34808,467.7947,467.04593,461.57968,454.36707,455.57428,457.535,437.53247,432.5026,451.56802,447.74384,443.87808,426.1947,430.34067,431.40225,436.32303,426.26547,432.19223,411.68948,417.70734,426.32852,392.95892,414.57968,416.13828,462.11633,434.31418,414.4748,401.4605,397.26144,398.4494,424.71768,494.38605,489.37128,438.2738,412.9836,399.84955,467.98898
118.148,1316.1007,5416.383,5064.0527,864.0583,1489.1035,6325.6206,4921.4614,1345.3346,831.75055,790.46985,865.3487,6575.721,1394.3564,5204.311,1428.3224,853.7045,1438.0693,834.29816,686.8199,694.89496,567.2731,537.4539,553.319,713.17676,667.47284,666.68567,584.9236,542.90216,542.46515,696.21375,719.30914,628.6831,509.05377,493.3325,492.0986,615.4344,796.9584,779.7182,574.8059,571.3956,587.93097,795.84656,715.9096,709.38947,626.28265,633.3828,664.0221,772.30176,920.23193,884.9728,717.0861,673.1751,639.8717,840.6651,591.7831,639.6006,515.58673,498.69986,514.66736,660.4593,733.0577,742.0039,547.88324,519.6424,498.18704,749.31525,757.79333,740.4776,569.9425,582.0016,513.7112,761.03143,841.54706,823.47577,655.20764,620.19086,589.1034,777.94244,719.8791,743.1047,549.8406,559.0222,570.0093,790.66986,791.93555,812.2281,635.38666,596.1922,588.2074,756.4627,646.01654,664.618,570.1457,561.685,568.5549,630.5924,753.3173,754.8941,752.94604,722.91956,682.0243,740.7687,664.73083,660.57153,684.2244,650.6517,668.9478,612.2624,796.3849,818.7586,650.51483,636.02954,621.06995,832.732,860.3121,809.24304,637.27844,623.92,617.78064,804.1223,941.45233,935.7004,708.5968,653.43945,638.7339,865.6192
120.141,92.213905,383.459,352.8445,109.78119,90.495224,480.65726,341.29868,95.86054,90.01065,96.66481,89.15374,505.6126,91.69982,361.93997,91.464554,94.96027,96.6825,101.771255,70.202576,70.9006,74.29013,74.36388,73.15155,70.97948,75.2695,75.598915,76.013466,76.54571,76.87911,74.71308,72.21243,70.33875,71.562195,69.84035,69.181694,69.37135,69.15627,69.786934,69.360115,67.30069,66.808754,68.97851,65.14779,65.75622,64.86179,64.020515,64.20918,64.89891,69.42807,68.40709,68.08855,64.71185,64.78394,64.856804,73.273476,71.872696,75.09577,72.91988,71.38442,69.58186,74.96928,74.39885,75.78027,75.2939,75.01579,72.97333,71.238335,71.49071,73.90966,69.873436,70.14116,71.08007,71.37035,71.25327,68.61153,67.9944,68.85502,70.210335,69.519,69.218834,68.28963,67.95047,67.11394,68.350105,62.88814,63.03394,62.31972,62.940765,62.78253,64.525375,77.76908,77.18355,77.41111,76.26525,76.52771,77.193535,69.86996,69.4367,72.91145,72.75248,74.188126,68.01769,68.518196,69.050964,68.596275,68.23541,68.594666,67.664055,68.05361,68.27533,67.209885,67.12551,67.25458,67.47464,65.406784,64.093895,65.02436,63.45809,63.65484,63.3585,71.7437,71.718475,70.66836,68.067894,65.62427,68.37924
132.125,7855.997,11571.891,10984.159,31699.846,9820.87,14616.657,10502.769,7951.538,28674.33,31755.598,32449.04,13737.942,7873.469,11084.97,9052.934,30014.816,9024.849,30413.572,2530.6091,2536.813,1929.937,1831.571,1917.8251,2604.7595,2318.7078,2306.5173,2016.2651,1892.177,1882.1962,2451.8079,2489.9185,2378.606,2008.8545,1938.2738,1937.5206,2449.651,2675.3508,2617.1394,2032.5477,2119.6711,2226.7043,2996.9294,2781.61,2795.509,2621.1384,2673.2354,2832.9507,3142.8215,3254.8767,3171.5208,2634.7087,2512.119,2375.4294,3201.9539,2142.701,2338.0232,1911.5343,1901.2365,2004.7277,2531.9478,2368.4165,2416.1565,1826.2898,1772.5228,1730.793,2551.7256,2708.497,2632.0532,2037.6239,2154.1624,1889.1461,2770.1716,2802.8152,2793.6084,2348.389,2294.9004,2230.4792,2849.1157,2722.1865,2849.5344,2131.8472,2196.15,2267.6711,3085.0227,2998.2998,3123.7725,2552.5464,2377.59,2338.1118,3004.3071,2066.6765,2110.9941,1896.1437,1859.5933,1855.9808,2043.3547,2617.899,2588.2424,2564.7422,2544.128,2350.1638,2642.2646,2621.964,2569.5193,2688.2756,2556.2126,2621.7368,2449.4019,2687.3547,2691.7864,2313.1523,2402.9705,2384.4612,3136.638,3227.438,3158.8452,2603.2139,2586.7795,2559.6885,3268.9424,3185.6418,3163.411,2555.5073,2423.104,2407.428,3216.841
140.122,706.5096,2611.3037,2798.6892,642.32947,877.4621,2909.9338,2705.2378,694.9608,571.92395,672.2124,655.4151,2713.1064,680.01764,2714.7954,875.40155,519.29504,888.6552,633.85455,850.7302,865.09955,734.66296,671.8168,701.3125,810.6667,869.73566,871.6952,908.9914,806.2891,799.7699,856.7265,728.6556,681.42584,692.91943,644.3146,618.2543,658.3883,1078.879,1057.1327,942.8577,858.7253,874.812,1017.1883,858.4902,826.3714,783.6581,766.5526,774.12305,874.5121,1123.5227,1112.5962,1161.119,1006.32043,966.6687,1011.15765,729.56604,731.3577,670.67,606.7241,612.76373,702.58093,899.93274,917.1841,833.88525,803.49457,790.9839,921.2668,835.94135,837.2683,717.09674,683.2922,634.97437,837.86554,1111.5002,1075.5197,1204.3827,1067.5692,971.01935,990.4038,910.5592,880.02716,869.3118,793.65186,760.61584,911.32776,776.0962,796.19055,707.37946,698.9707,684.3548,814.64276,651.0115,663.1451,642.16327,631.911,636.5112,655.88556,1020.2917,1033.0912,1025.3319,972.16876,919.84735,1063.1357,784.0924,797.3937,880.5221,843.7984,862.7648,809.1791,969.1276,953.53674,1056.2529,953.011,949.22485,984.48083,955.31323,887.94006,855.22327,785.43866,770.6775,855.89105,1182.8167,1199.7427,1220.5779,1008.28046,986.28217,1037.653
147.12,5255.96,10021.014,9344.563,5543.5176,7078.3696,14019.647,8686.674,5027.8784,4804.8477,5460.41,5385.791,14314.118,5865.605,9253.059,5741.1274,5212.0503,6755.3125,5285.9507,3364.3445,3384.0823,3404.11,3327.594,3337.7485,3381.7222,3249.7188,3219.9312,3128.199,3274.3416,3265.5906,3262.9429,3372.8738,3344.1897,3268.863,3148.8264,3085.2617,3213.3042,2972.3782,3016.5012,3142.3987,3334.594,3365.0244,3485.2556,3146.6086,3179.5598,3312.85,3216.0964,3181.9192,3188.5012,3328.276,3315.815,3514.1602,3285.609,3301.9304,3203.1763,3411.6543,3355.9126,3472.4138,3289.7969,3274.9233,3285.4326,2990.4194,3020.1692,3060.962,3085.4722,3053.002,3122.8574,3379.304,3354.8264,3362.6555,3213.7158,3132.9844,3389.1536,3223.2488,3273.189,3521.3613,3486.0178,3506.234,3428.724,3474.009,3507.9912,3471.229,3442.4534,3384.946,3540.8042,2797.7673,2857.5957,2857.211,3083.7847,3064.0684,3239.4202,3495.6824,3511.1362,3422.2524,3338.9463,3342.3657,3430.083,3081.853,2867.8196,3301.5708,3279.5083,3234.697,2808.123,3382.868,3390.8499,3365.771,3288.2383,3333.2322,3279.5623,2644.6213,2669.558,3117.6426,3590.36,3598.908,3493.668,3076.7102,3022.6367,3293.278,3167.6047,3177.128,3085.195,3219.25,3202.5398,3492.5571,3331.245,3254.2383,3254.0332
