sample.name,injection.order,batch,group,class
Peak area - S10_GoatLiver_4 - Total Ion Count,4,1,1,1
Peak area - S11_ChickenLiver_3 - Total Ion Count,11,1,1,1
Peak area - S12_ChickenLiver_4 - Total Ion Count,18,1,1,1
Peak area - S13_ChickenHeart_5 - Total Ion Count,25,2,1,1
Peak area - S14_GoatLiver_5 - Total Ion Count,32,2,1,1
Peak area - S15_ChickenLiver_5 - Total Ion Count,39,2,1,1
Peak area - S16_ChickenLiver_6 - Total Ion Count,46,2,1,1
Peak area - S17_GoatLiver_6 - Total Ion Count,53,2,1,1
Peak area - S18_ChickenHeart_6 - Total Ion Count,60,2,1,1
Peak area - S1_ChickenHeart_1 - Total Ion Count,67,0,1,1
Peak area - S2_ChickenHeart_2 - Total Ion Count,74,0,1,1
Peak area - S3_ChickenLiver_1 - Total Ion Count,81,0,1,1
Peak area - S4_GoatLiver_1 - Total Ion Count,88,0,1,1
Peak area - S5_ChickenLiver_2 - Total Ion Count,95,0,1,1
Peak area - S6_GoatLiver_2 - Total Ion Count,102,0,1,1
Peak area - S7_ChickenHeart_3 - Total Ion Count,109,1,1,1
Peak area - S8_GoatLiver_3 - Total Ion Count,116,1,1,1
Peak area - S9_ChickenHeart_4 - Total Ion Count,123,1,1,1
Peak area - S10_QCS_1 - Total Ion Count,1,1,1,0
Peak area - S10_QCS_2 - Total Ion Count,2,1,1,0
Peak area - S10_QCS_3 - Total Ion Count,3,1,1,0
Peak area - S10_QCS_4 - Total Ion Count,5,1,1,0
Peak area - S10_QCS_5 - Total Ion Count,6,1,1,0
Peak area - S10_QCS_6 - Total Ion Count,7,1,1,0
Peak area - S11_QCS_1 - Total Ion Count,8,1,1,0
Peak area - S11_QCS_2 - Total Ion Count,9,1,1,0
Peak area - S11_QCS_3 - Total Ion Count,10,1,1,0
Peak area - S11_QCS_4 - Total Ion Count,12,1,1,0
Peak area - S11_QCS_5 - Total Ion Count,13,1,1,0
Peak area - S11_QCS_6 - Total Ion Count,14,1,1,0
Peak area - S12_QCS_1 - Total Ion Count,15,1,1,0
Peak area - S12_QCS_2 - Total Ion Count,16,1,1,0
Peak area - S12_QCS_3 - Total Ion Count,17,1,1,0
Peak area - S12_QCS_4 - Total Ion Count,19,1,1,0
Peak area - S12_QCS_5 - Total Ion Count,20,1,1,0
Peak area - S12_QCS_6 - Total Ion Count,21,1,1,0
Peak area - S13_QCS_1 - Total Ion Count,22,2,1,0
Peak area - S13_QCS_2 - Total Ion Count,23,2,1,0
Peak area - S13_QCS_3 - Total Ion Count,24,2,1,0
Peak area - S13_QCS_4 - Total Ion Count,26,2,1,0
Peak area - S13_QCS_5 - Total Ion Count,27,2,1,0
Peak area - S13_QCS_6 - Total Ion Count,28,2,1,0
Peak area - S14_QCS_1 - Total Ion Count,29,2,1,0
Peak area - S14_QCS_2 - Total Ion Count,30,2,1,0
Peak area - S14_QCS_3 - Total Ion Count,31,2,1,0
Peak area - S14_QCS_4 - Total Ion Count,33,2,1,0
Peak area - S14_QCS_5 - Total Ion Count,34,2,1,0
Peak area - S14_QCS_6 - Total Ion Count,35,2,1,0
Peak area - S15_QCS_1 - Total Ion Count,36,2,1,0
Peak area - S15_QCS_2 - Total Ion Count,37,2,1,0
Peak area - S15_QCS_3 - Total Ion Count,38,2,1,0
Peak area - S15_QCS_4 - Total Ion Count,40,2,1,0
Peak area - S15_QCS_5 - Total Ion Count,41,2,1,0
Peak area - S15_QCS_6 - Total Ion Count,42,2,1,0
Peak area - S16_QCS_1 - Total Ion Count,43,2,1,0
Peak area - S16_QCS_2 - Total Ion Count,44,2,1,0
Peak area - S16_QCS_3 - Total Ion Count,45,2,1,0
Peak area - S16_QCS_4 - Total Ion Count,47,2,1,0
Peak area - S16_QCS_5 - Total Ion Count,48,2,1,0
Peak area - S16_QCS_6 - Total Ion Count,49,2,1,0
Peak area - S17_QCS_1 - Total Ion Count,50,2,1,0
Peak area - S17_QCS_2 - Total Ion Count,51,2,1,0
Peak area - S17_QCS_3 - Total Ion Count,52,2,1,0
Peak area - S17_QCS_4 - Total Ion Count,54,2,1,0
Peak area - S17_QCS_5 - Total Ion Count,55,2,1,0
Peak area - S17_QCS_6 - Total Ion Count,56,2,1,0
Peak area - S18_QCS_1 - Total Ion Count,57,2,1,0
Peak area - S18_QCS_2 - Total Ion Count,58,2,1,0
Peak area - S18_QCS_3 - Total Ion Count,59,2,1,0
Peak area - S18_QCS_4 - Total Ion Count,61,2,1,0
Peak area - S18_QCS_5 - Total Ion Count,62,2,1,0
Peak area - S18_QCS_6 - Total Ion Count,63,2,1,0
Peak area - S1_QCS_1 - Total Ion Count,64,0,1,0
Peak area - S1_QCS_2 - Total Ion Count,65,0,1,0
Peak area - S1_QCS_3 - Total Ion Count,66,0,1,0
Peak area - S1_QCS_4 - Total Ion Count,68,0,1,0
Peak area - S1_QCS_5 - Total Ion Count,69,0,1,0
Peak area - S1_QCS_6 - Total Ion Count,70,0,1,0
Peak area - S2_QCS_1 - Total Ion Count,71,0,1,0
Peak area - S2_QCS_2 - Total Ion Count,72,0,1,0
Peak area - S2_QCS_3 - Total Ion Count,73,0,1,0
Peak area - S2_QCS_4 - Total Ion Count,75,0,1,0
Peak area - S2_QCS_5 - Total Ion Count,76,0,1,0
Peak area - S2_QCS_6 - Total Ion Count,77,0,1,0
Peak area - S3_QCS_1 - Total Ion Count,78,0,1,0
Peak area - S3_QCS_2 - Total Ion Count,79,0,1,0
Peak area - S3_QCS_3 - Total Ion Count,80,0,1,0
Peak area - S3_QCS_4 - Total Ion Count,82,0,1,0
Peak area - S3_QCS_5 - Total Ion Count,83,0,1,0
Peak area - S3_QCS_6 - Total Ion Count,84,0,1,0
Peak area - S4_QCS_1 - Total Ion Count,85,0,1,0
Peak area - S4_QCS_2 - Total Ion Count,86,0,1,0
Peak area - S4_QCS_3 - Total Ion Count,87,0,1,0
Peak area - S4_QCS_4 - Total Ion Count,89,0,1,0
Peak area - S4_QCS_5 - Total Ion Count,90,0,1,0
Peak area - S4_QCS_6 - Total Ion Count,91,0,1,0
Peak area - S5_QCS_1 - Total Ion Count,92,0,1,0
Peak area - S5_QCS_2 - Total Ion Count,93,0,1,0
Peak area - S5_QCS_3 - Total Ion Count,94,0,1,0
Peak area - S5_QCS_4 - Total Ion Count,96,0,1,0
Peak area - S5_QCS_5 - Total Ion Count,97,0,1,0
Peak area - S5_QCS_6 - Total Ion Count,98,0,1,0
Peak area - S6_QCS_1 - Total Ion Count,99,0,1,0
Peak area - S6_QCS_2 - Total Ion Count,100,0,1,0
Peak area - S6_QCS_3 - Total Ion Count,101,0,1,0
Peak area - S6_QCS_4 - Total Ion Count,103,0,1,0
Peak area - S6_QCS_5 - Total Ion Count,104,0,1,0
Peak area - S6_QCS_6 - Total Ion Count,105,0,1,0
Peak area - S7_QCS_1 - Total Ion Count,106,1,1,0
Peak area - S7_QCS_2 - Total Ion Count,107,1,1,0
Peak area - S7_QCS_3 - Total Ion Count,108,1,1,0
Peak area - S7_QCS_4 - Total Ion Count,110,1,1,0
Peak area - S7_QCS_5 - Total Ion Count,111,1,1,0
Peak area - S7_QCS_6 - Total Ion Count,112,1,1,0
Peak area - S8_QCS_1 - Total Ion Count,113,1,1,0
Peak area - S8_QCS_2 - Total Ion Count,114,1,1,0
Peak area - S8_QCS_3 - Total Ion Count,115,1,1,0
Peak area - S8_QCS_4 - Total Ion Count,117,1,1,0
Peak area - S8_QCS_5 - Total Ion Count,118,1,1,0
Peak area - S8_QCS_6 - Total Ion Count,119,1,1,0
Peak area - S9_QCS_1 - Total Ion Count,120,1,1,0
Peak area - S9_QCS_2 - Total Ion Count,121,1,1,0
Peak area - S9_QCS_3 - Total Ion Count,122,1,1,0
Peak area - S9_QCS_4 - Total Ion Count,124,1,1,0
Peak area - S9_QCS_5 - Total Ion Count,125,1,1,0
Peak area - S9_QCS_6 - Total Ion Count,126,1,1,0
