sample.name,injection.order,batch,group,class
Peak area - S10_GoatLiver_4 - Total Ion Count,64,2,1,Subject
Peak area - S10_QCS_1 - Total Ion Count,65,2,1,QC
Peak area - S10_QCS_2 - Total Ion Count,66,2,1,QC
Peak area - S10_QCS_3 - Total Ion Count,67,2,1,QC
Peak area - S10_QCS_4 - Total Ion Count,68,2,1,QC
Peak area - S10_QCS_5 - Total Ion Count,69,2,1,QC
Peak area - S10_QCS_6 - Total Ion Count,70,2,1,QC
Peak area - S11_ChickenLiver_3 - Total Ion Count,71,2,1,Subject
Peak area - S11_QCS_1 - Total Ion Count,72,2,1,QC
Peak area - S11_QCS_2 - Total Ion Count,73,2,1,QC
Peak area - S11_QCS_3 - Total Ion Count,74,2,1,QC
Peak area - S11_QCS_4 - Total Ion Count,75,2,1,QC
Peak area - S11_QCS_5 - Total Ion Count,76,2,1,QC
Peak area - S11_QCS_6 - Total Ion Count,77,2,1,QC
Peak area - S12_ChickenLiver_4 - Total Ion Count,78,2,1,Subject
Peak area - S12_QCS_1 - Total Ion Count,79,2,1,QC
Peak area - S12_QCS_2 - Total Ion Count,80,2,1,QC
Peak area - S12_QCS_3 - Total Ion Count,81,2,1,QC
Peak area - S12_QCS_4 - Total Ion Count,82,2,1,QC
Peak area - S12_QCS_5 - Total Ion Count,83,2,1,QC
Peak area - S12_QCS_6 - Total Ion Count,84,2,1,QC
Peak area - S13_ChickenHeart_5 - Total Ion Count,85,3,1,Subject
Peak area - S13_QCS_1 - Total Ion Count,86,3,1,QC
Peak area - S13_QCS_2 - Total Ion Count,87,3,1,QC
Peak area - S13_QCS_3 - Total Ion Count,88,3,1,QC
Peak area - S13_QCS_4 - Total Ion Count,89,3,1,QC
Peak area - S13_QCS_5 - Total Ion Count,90,3,1,QC
Peak area - S13_QCS_6 - Total Ion Count,91,3,1,QC
Peak area - S14_GoatLiver_5 - Total Ion Count,92,3,1,Subject
Peak area - S14_QCS_1 - Total Ion Count,93,3,1,QC
Peak area - S14_QCS_2 - Total Ion Count,94,3,1,QC
Peak area - S14_QCS_3 - Total Ion Count,95,3,1,QC
Peak area - S14_QCS_4 - Total Ion Count,96,3,1,QC
Peak area - S14_QCS_5 - Total Ion Count,97,3,1,QC
Peak area - S14_QCS_6 - Total Ion Count,98,3,1,QC
Peak area - S15_ChickenLiver_5 - Total Ion Count,99,3,1,Subject
Peak area - S15_QCS_1 - Total Ion Count,100,3,1,QC
Peak area - S15_QCS_2 - Total Ion Count,101,3,1,QC
Peak area - S15_QCS_3 - Total Ion Count,102,3,1,QC
Peak area - S15_QCS_4 - Total Ion Count,103,3,1,QC
Peak area - S15_QCS_5 - Total Ion Count,104,3,1,QC
Peak area - S15_QCS_6 - Total Ion Count,105,3,1,QC
Peak area - S16_ChickenLiver_6 - Total Ion Count,106,3,1,Subject
Peak area - S16_QCS_1 - Total Ion Count,107,3,1,QC
Peak area - S16_QCS_2 - Total Ion Count,108,3,1,QC
Peak area - S16_QCS_3 - Total Ion Count,109,3,1,QC
Peak area - S16_QCS_4 - Total Ion Count,110,3,1,QC
Peak area - S16_QCS_5 - Total Ion Count,111,3,1,QC
Peak area - S16_QCS_6 - Total Ion Count,112,3,1,QC
Peak area - S17_GoatLiver_6 - Total Ion Count,113,3,1,Subject
Peak area - S17_QCS_1 - Total Ion Count,114,3,1,QC
Peak area - S17_QCS_2 - Total Ion Count,115,3,1,QC
Peak area - S17_QCS_3 - Total Ion Count,116,3,1,QC
Peak area - S17_QCS_4 - Total Ion Count,117,3,1,QC
Peak area - S17_QCS_5 - Total Ion Count,118,3,1,QC
Peak area - S17_QCS_6 - Total Ion Count,119,3,1,QC
Peak area - S18_ChickenHeart_6 - Total Ion Count,120,3,1,Subject
Peak area - S18_QCS_1 - Total Ion Count,121,3,1,QC
Peak area - S18_QCS_2 - Total Ion Count,122,3,1,QC
Peak area - S18_QCS_3 - Total Ion Count,123,3,1,QC
Peak area - S18_QCS_4 - Total Ion Count,124,3,1,QC
Peak area - S18_QCS_5 - Total Ion Count,125,3,1,QC
Peak area - S18_QCS_6 - Total Ion Count,126,3,1,QC
Peak area - S1_ChickenHeart_1 - Total Ion Count,1,1,1,Subject
Peak area - S1_QCS_1 - Total Ion Count,2,1,1,QC
Peak area - S1_QCS_2 - Total Ion Count,3,1,1,QC
Peak area - S1_QCS_3 - Total Ion Count,4,1,1,QC
Peak area - S1_QCS_4 - Total Ion Count,5,1,1,QC
Peak area - S1_QCS_5 - Total Ion Count,6,1,1,QC
Peak area - S1_QCS_6 - Total Ion Count,7,1,1,QC
Peak area - S2_ChickenHeart_2 - Total Ion Count,8,1,1,Subject
Peak area - S2_QCS_1 - Total Ion Count,9,1,1,QC
Peak area - S2_QCS_2 - Total Ion Count,10,1,1,QC
Peak area - S2_QCS_3 - Total Ion Count,11,1,1,QC
Peak area - S2_QCS_4 - Total Ion Count,12,1,1,QC
Peak area - S2_QCS_5 - Total Ion Count,13,1,1,QC
Peak area - S2_QCS_6 - Total Ion Count,14,1,1,QC
Peak area - S3_ChickenLiver_1 - Total Ion Count,15,1,1,Subject
Peak area - S3_QCS_1 - Total Ion Count,16,1,1,QC
Peak area - S3_QCS_2 - Total Ion Count,17,1,1,QC
Peak area - S3_QCS_3 - Total Ion Count,18,1,1,QC
Peak area - S3_QCS_4 - Total Ion Count,19,1,1,QC
Peak area - S3_QCS_5 - Total Ion Count,20,1,1,QC
Peak area - S3_QCS_6 - Total Ion Count,21,1,1,QC
Peak area - S4_GoatLiver_1 - Total Ion Count,22,1,1,Subject
Peak area - S4_QCS_1 - Total Ion Count,23,1,1,QC
Peak area - S4_QCS_2 - Total Ion Count,24,1,1,QC
Peak area - S4_QCS_3 - Total Ion Count,25,1,1,QC
Peak area - S4_QCS_4 - Total Ion Count,26,1,1,QC
Peak area - S4_QCS_5 - Total Ion Count,27,1,1,QC
Peak area - S4_QCS_6 - Total Ion Count,28,1,1,QC
Peak area - S5_ChickenLiver_2 - Total Ion Count,29,1,1,Subject
Peak area - S5_QCS_1 - Total Ion Count,30,1,1,QC
Peak area - S5_QCS_2 - Total Ion Count,31,1,1,QC
Peak area - S5_QCS_3 - Total Ion Count,32,1,1,QC
Peak area - S5_QCS_4 - Total Ion Count,33,1,1,QC
Peak area - S5_QCS_5 - Total Ion Count,34,1,1,QC
Peak area - S5_QCS_6 - Total Ion Count,35,1,1,QC
Peak area - S6_GoatLiver_2 - Total Ion Count,36,1,1,Subject
Peak area - S6_QCS_1 - Total Ion Count,37,1,1,QC
Peak area - S6_QCS_2 - Total Ion Count,38,1,1,QC
Peak area - S6_QCS_3 - Total Ion Count,39,1,1,QC
Peak area - S6_QCS_4 - Total Ion Count,40,1,1,QC
Peak area - S6_QCS_5 - Total Ion Count,41,1,1,QC
Peak area - S6_QCS_6 - Total Ion Count,42,1,1,QC
Peak area - S7_ChickenHeart_3 - Total Ion Count,43,2,1,Subject
Peak area - S7_QCS_1 - Total Ion Count,44,2,1,QC
Peak area - S7_QCS_2 - Total Ion Count,45,2,1,QC
Peak area - S7_QCS_3 - Total Ion Count,46,2,1,QC
Peak area - S7_QCS_4 - Total Ion Count,47,2,1,QC
Peak area - S7_QCS_5 - Total Ion Count,48,2,1,QC
Peak area - S7_QCS_6 - Total Ion Count,49,2,1,QC
Peak area - S8_GoatLiver_3 - Total Ion Count,50,2,1,Subject
Peak area - S8_QCS_1 - Total Ion Count,51,2,1,QC
Peak area - S8_QCS_2 - Total Ion Count,52,2,1,QC
Peak area - S8_QCS_3 - Total Ion Count,53,2,1,QC
Peak area - S8_QCS_4 - Total Ion Count,54,2,1,QC
Peak area - S8_QCS_5 - Total Ion Count,55,2,1,QC
Peak area - S8_QCS_6 - Total Ion Count,56,2,1,QC
Peak area - S9_ChickenHeart_4 - Total Ion Count,57,2,1,Subject
Peak area - S9_QCS_1 - Total Ion Count,58,2,1,QC
Peak area - S9_QCS_2 - Total Ion Count,59,2,1,QC
Peak area - S9_QCS_3 - Total Ion Count,60,2,1,QC
Peak area - S9_QCS_4 - Total Ion Count,61,2,1,QC
Peak area - S9_QCS_5 - Total Ion Count,62,2,1,QC
Peak area - S9_QCS_6 - Total Ion Count,63,2,1,QC
