sample.name,injection.order,batch
Peak area - S10_GoatLiver_4 - Total Ion Count,64,2
Peak area - S10_QCS_1 - Total Ion Count,65,2
Peak area - S10_QCS_2 - Total Ion Count,66,2
Peak area - S10_QCS_3 - Total Ion Count,67,2
Peak area - S10_QCS_4 - Total Ion Count,68,2
Peak area - S10_QCS_5 - Total Ion Count,69,2
Peak area - S10_QCS_6 - Total Ion Count,70,2
Peak area - S11_ChickenLiver_3 - Total Ion Count,71,2
Peak area - S11_QCS_1 - Total Ion Count,72,2
Peak area - S11_QCS_2 - Total Ion Count,73,2
Peak area - S11_QCS_3 - Total Ion Count,74,2
Peak area - S11_QCS_4 - Total Ion Count,75,2
Peak area - S11_QCS_5 - Total Ion Count,76,2
Peak area - S11_QCS_6 - Total Ion Count,77,2
Peak area - S12_ChickenLiver_4 - Total Ion Count,78,2
Peak area - S12_QCS_1 - Total Ion Count,79,2
Peak area - S12_QCS_2 - Total Ion Count,80,2
Peak area - S12_QCS_3 - Total Ion Count,81,2
Peak area - S12_QCS_4 - Total Ion Count,82,2
Peak area - S12_QCS_5 - Total Ion Count,83,2
Peak area - S12_QCS_6 - Total Ion Count,84,2
Peak area - S13_ChickenHeart_5 - Total Ion Count,85,3
Peak area - S13_QCS_1 - Total Ion Count,86,3
Peak area - S13_QCS_2 - Total Ion Count,87,3
Peak area - S13_QCS_3 - Total Ion Count,88,3
Peak area - S13_QCS_4 - Total Ion Count,89,3
Peak area - S13_QCS_5 - Total Ion Count,90,3
Peak area - S13_QCS_6 - Total Ion Count,91,3
Peak area - S14_GoatLiver_5 - Total Ion Count,92,3
Peak area - S14_QCS_1 - Total Ion Count,93,3
Peak area - S14_QCS_2 - Total Ion Count,94,3
Peak area - S14_QCS_3 - Total Ion Count,95,3
Peak area - S14_QCS_4 - Total Ion Count,96,3
Peak area - S14_QCS_5 - Total Ion Count,97,3
Peak area - S14_QCS_6 - Total Ion Count,98,3
Peak area - S15_ChickenLiver_5 - Total Ion Count,99,3
Peak area - S15_QCS_1 - Total Ion Count,100,3
Peak area - S15_QCS_2 - Total Ion Count,101,3
Peak area - S15_QCS_3 - Total Ion Count,102,3
Peak area - S15_QCS_4 - Total Ion Count,103,3
Peak area - S15_QCS_5 - Total Ion Count,104,3
Peak area - S15_QCS_6 - Total Ion Count,105,3
Peak area - S16_ChickenLiver_6 - Total Ion Count,106,3
Peak area - S16_QCS_1 - Total Ion Count,107,3
Peak area - S16_QCS_2 - Total Ion Count,108,3
Peak area - S16_QCS_3 - Total Ion Count,109,3
Peak area - S16_QCS_4 - Total Ion Count,110,3
Peak area - S16_QCS_5 - Total Ion Count,111,3
Peak area - S16_QCS_6 - Total Ion Count,112,3
Peak area - S17_GoatLiver_6 - Total Ion Count,113,3
Peak area - S17_QCS_1 - Total Ion Count,114,3
Peak area - S17_QCS_2 - Total Ion Count,115,3
Peak area - S17_QCS_3 - Total Ion Count,116,3
Peak area - S17_QCS_4 - Total Ion Count,117,3
Peak area - S17_QCS_5 - Total Ion Count,118,3
Peak area - S17_QCS_6 - Total Ion Count,119,3
Peak area - S18_ChickenHeart_6 - Total Ion Count,120,3
Peak area - S18_QCS_1 - Total Ion Count,121,3
Peak area - S18_QCS_2 - Total Ion Count,122,3
Peak area - S18_QCS_3 - Total Ion Count,123,3
