sample.name,injection.order,batch,group,class
Peak area - S10_GoatLiver_4 - No Normalization,4,1,1,1
Peak area - S11_ChickenLiver_3 - No Normalization,11,1,1,1
Peak area - S12_ChickenLiver_4 - No Normalization,18,1,1,1
Peak area - S13_ChickenHeart_5 - No Normalization,25,2,1,1
Peak area - S14_GoatLiver_5 - No Normalization,32,2,1,1
Peak area - S15_ChickenLiver_5 - No Normalization,39,2,1,1
Peak area - S16_ChickenLiver_6 - No Normalization,46,2,1,1
Peak area - S17_GoatLiver_6 - No Normalization,53,2,1,1
Peak area - S18_ChickenHeart_6 - No Normalization,60,2,1,1
Peak area - S1_ChickenHeart_1 - No Normalization,67,0,1,1
Peak area - S2_ChickenHeart_2 - No Normalization,74,0,1,1
Peak area - S3_ChickenLiver_1 - No Normalization,81,0,1,1
Peak area - S4_GoatLiver_1 - No Normalization,88,0,1,1
Peak area - S5_ChickenLiver_2 - No Normalization,95,0,1,1
Peak area - S6_GoatLiver_2 - No Normalization,102,0,1,1
Peak area - S7_ChickenHeart_3 - No Normalization,109,1,1,1
Peak area - S8_GoatLiver_3 - No Normalization,116,1,1,1
Peak area - S9_ChickenHeart_4 - No Normalization,123,1,1,1
Peak area - S10_QCS_1 - No Normalization,1,1,1,0
Peak area - S10_QCS_2 - No Normalization,2,1,1,0
Peak area - S10_QCS_3 - No Normalization,3,1,1,0
Peak area - S10_QCS_4 - No Normalization,5,1,1,0
Peak area - S10_QCS_5 - No Normalization,6,1,1,0
Peak area - S10_QCS_6 - No Normalization,7,1,1,0
Peak area - S11_QCS_1 - No Normalization,8,1,1,0
Peak area - S11_QCS_2 - No Normalization,9,1,1,0
Peak area - S11_QCS_3 - No Normalization,10,1,1,0
Peak area - S11_QCS_4 - No Normalization,12,1,1,0
Peak area - S11_QCS_5 - No Normalization,13,1,1,0
Peak area - S11_QCS_6 - No Normalization,14,1,1,0
Peak area - S12_QCS_1 - No Normalization,15,1,1,0
Peak area - S12_QCS_2 - No Normalization,16,1,1,0
Peak area - S12_QCS_3 - No Normalization,17,1,1,0
Peak area - S12_QCS_4 - No Normalization,19,1,1,0
Peak area - S12_QCS_5 - No Normalization,20,1,1,0
Peak area - S12_QCS_6 - No Normalization,21,1,1,0
Peak area - S13_QCS_1 - No Normalization,22,2,1,0
Peak area - S13_QCS_2 - No Normalization,23,2,1,0
Peak area - S13_QCS_3 - No Normalization,24,2,1,0
Peak area - S13_QCS_4 - No Normalization,26,2,1,0
Peak area - S13_QCS_5 - No Normalization,27,2,1,0
Peak area - S13_QCS_6 - No Normalization,28,2,1,0
Peak area - S14_QCS_1 - No Normalization,29,2,1,0
Peak area - S14_QCS_2 - No Normalization,30,2,1,0
