meta.name,Peak area - S10_GoatLiver_4 - Total Ion Count,Peak area - S11_ChickenLiver_3 - Total Ion Count,Peak area - S12_ChickenLiver_4 - Total Ion Count,Peak area - S13_ChickenHeart_5 - Total Ion Count,Peak area - S14_GoatLiver_5 - Total Ion Count,Peak area - S15_ChickenLiver_5 - Total Ion Count,Peak area - S16_ChickenLiver_6 - Total Ion Count,Peak area - S17_GoatLiver_6 - Total Ion Count,Peak area - S18_ChickenHeart_6 - Total Ion Count,Peak area - S1_ChickenHeart_1 - Total Ion Count,Peak area - S2_ChickenHeart_2 - Total Ion Count,Peak area - S3_ChickenLiver_1 - Total Ion Count,Peak area - S4_GoatLiver_1 - Total Ion Count,Peak area - S5_ChickenLiver_2 - Total Ion Count,Peak area - S6_GoatLiver_2 - Total Ion Count,Peak area - S7_ChickenHeart_3 - Total Ion Count,Peak area - S8_GoatLiver_3 - Total Ion Count,Peak area - S9_ChickenHeart_4 - Total Ion Count,Peak area - S10_QCS_1 - Total Ion Count,Peak area - S10_QCS_2 - Total Ion Count,Peak area - S10_QCS_3 - Total Ion Count,Peak area - S10_QCS_4 - Total Ion Count,Peak area - S10_QCS_5 - Total Ion Count,Peak area - S10_QCS_6 - Total Ion Count,Peak area - S11_QCS_1 - Total Ion Count,Peak area - S11_QCS_2 - Total Ion Count,Peak area - S11_QCS_3 - Total Ion Count,Peak area - S11_QCS_4 - Total Ion Count,Peak area - S11_QCS_5 - Total Ion Count,Peak area - S11_QCS_6 - Total Ion Count,Peak area - S12_QCS_1 - Total Ion Count,Peak area - S12_QCS_2 - Total Ion Count,Peak area - S12_QCS_3 - Total Ion Count,Peak area - S12_QCS_4 - Total Ion Count,Peak area - S12_QCS_5 - Total Ion Count,Peak area - S12_QCS_6 - Total Ion Count,Peak area - S13_QCS_1 - Total Ion Count,Peak area - S13_QCS_2 - Total Ion Count,Peak area - S13_QCS_3 - Total Ion Count,Peak area - S13_QCS_4 - Total Ion Count,Peak area - S13_QCS_5 - Total Ion Count,Peak area - S13_QCS_6 - Total Ion Count,Peak area - S14_QCS_1 - Total Ion Count,Peak area - S14_QCS_2 - Total Ion Count,Peak area - S14_QCS_3 - Total Ion Count,Peak area - S14_QCS_4 - Total Ion Count,Peak area - S14_QCS_5 - Total Ion Count,Peak area - S14_QCS_6 - Total Ion Count,Peak area - S15_QCS_1 - Total Ion Count,Peak area - S15_QCS_2 - Total Ion Count,Peak area - S15_QCS_3 - Total Ion Count,Peak area - S15_QCS_4 - Total Ion Count,Peak area - S15_QCS_5 - Total Ion Count,Peak area - S15_QCS_6 - Total Ion Count,Peak area - S16_QCS_1 - Total Ion Count,Peak area - S16_QCS_2 - Total Ion Count,Peak area - S16_QCS_3 - Total Ion Count,Peak area - S16_QCS_4 - Total Ion Count,Peak area - S16_QCS_5 - Total Ion Count,Peak area - S16_QCS_6 - Total Ion Count,Peak area - S17_QCS_1 - Total Ion Count,Peak area - S17_QCS_2 - Total Ion Count,Peak area - S17_QCS_3 - Total Ion Count,Peak area - S17_QCS_4 - Total Ion Count,Peak area - S17_QCS_5 - Total Ion Count,Peak area - S17_QCS_6 - Total Ion Count,Peak area - S18_QCS_1 - Total Ion Count,Peak area - S18_QCS_2 - Total Ion Count,Peak area - S18_QCS_3 - Total Ion Count,Peak area - S18_QCS_4 - Total Ion Count,Peak area - S18_QCS_5 - Total Ion Count,Peak area - S18_QCS_6 - Total Ion Count,Peak area - S1_QCS_1 - Total Ion Count,Peak area - S1_QCS_2 - Total Ion Count,Peak area - S1_QCS_3 - Total Ion Count,Peak area - S1_QCS_4 - Total Ion Count,Peak area - S1_QCS_5 - Total Ion Count,Peak area - S1_QCS_6 - Total Ion Count,Peak area - S2_QCS_1 - Total Ion Count,Peak area - S2_QCS_2 - Total Ion Count,Peak area - S2_QCS_3 - Total Ion Count,Peak area - S2_QCS_4 - Total Ion Count,Peak area - S2_QCS_5 - Total Ion Count,Peak area - S2_QCS_6 - Total Ion Count,Peak area - S3_QCS_1 - Total Ion Count,Peak area - S3_QCS_2 - Total Ion Count,Peak area - S3_QCS_3 - Total Ion Count,Peak area - S3_QCS_4 - Total Ion Count,Peak area - S3_QCS_5 - Total Ion Count,Peak area - S3_QCS_6 - Total Ion Count,Peak area - S4_QCS_1 - Total Ion Count,Peak area - S4_QCS_2 - Total Ion Count,Peak area - S4_QCS_3 - Total Ion Count,Peak area - S4_QCS_4 - Total Ion Count,Peak area - S4_QCS_5 - Total Ion Count,Peak area - S4_QCS_6 - Total Ion Count,Peak area - S5_QCS_1 - Total Ion Count,Peak area - S5_QCS_2 - Total Ion Count,Peak area - S5_QCS_3 - Total Ion Count,Peak area - S5_QCS_4 - Total Ion Count,Peak area - S5_QCS_5 - Total Ion Count,Peak area - S5_QCS_6 - Total Ion Count,Peak area - S6_QCS_1 - Total Ion Count,Peak area - S6_QCS_2 - Total Ion Count,Peak area - S6_QCS_3 - Total Ion Count,Peak area - S6_QCS_4 - Total Ion Count,Peak area - S6_QCS_5 - Total Ion Count,Peak area - S6_QCS_6 - Total Ion Count,Peak area - S7_QCS_1 - Total Ion Count,Peak area - S7_QCS_2 - Total Ion Count,Peak area - S7_QCS_3 - Total Ion Count,Peak area - S7_QCS_4 - Total Ion Count,Peak area - S7_QCS_5 - Total Ion Count,Peak area - S7_QCS_6 - Total Ion Count,Peak area - S8_QCS_1 - Total Ion Count,Peak area - S8_QCS_2 - Total Ion Count,Peak area - S8_QCS_3 - Total Ion Count,Peak area - S8_QCS_4 - Total Ion Count,Peak area - S8_QCS_5 - Total Ion Count,Peak area - S8_QCS_6 - Total Ion Count,Peak area - S9_QCS_1 - Total Ion Count,Peak area - S9_QCS_2 - Total Ion Count,Peak area - S9_QCS_3 - Total Ion Count,Peak area - S9_QCS_4 - Total Ion Count,Peak area - S9_QCS_5 - Total Ion Count,Peak area - S9_QCS_6 - Total Ion Count
260.186,2019.8798,1455.3163,1349.844,782.6629,2502.4746,1755.1903,1266.1289,2029.8317,881.14075,1146.8824,1143.117,1501.4811,1915.397,1640.922,2713.8691,999.2676,2353.2266,823.3428,7215.7593,7125.897,4346.831,4071.2163,4441.067,7515.8247,6957.702,6902.9937,5074.865,4764.297,4855.4673,7509.3086,8986.484,8039.6597,5279.273,4551.807,4601.685,7619.0864,10124.465,9414.777,5139.78,4854.6577,5240.317,9983.927,8814.164,9031.972,6709.175,6988.693,8157.9897,10300.651,11468.175,11293.195,6522.2026,5971.0454,5428.688,11149.592,6370.628,7655.733,4440.2354,4342.9976,4756.4937,8172.5127,7970.3154,8132.2754,4812.6187,4699.5166,4362.4956,8557.05,9549.516,9020.12,5604.888,6162.4614,4705.5854,9178.466,9159.13,9106.012,4983.3145,5235.142,5364.8823,9784.651,9571.908,10271.501,4920.7227,5459.9336,5809.9243,10928.619,11472.851,11628.146,7096.5884,5967.207,5928.196,9016.88,6285.1313,6345.84,5191.948,5039.639,5095.901,6077.4727,8553.778,8496.186,6915.092,6341.7847,5769.022,8286.144,7772.467,7698.2725,7710.9634,7027.195,7355.218,6645.245,8087.0635,8936.978,5257.8257,5577.7974,5299.131,10566.825,10893.094,10345.3545,6126.3555,6132.254,6099.125,10248.727,9397.07,8811.434,5044.4375,4813.559,4906.7466,8816.8545
267.187,963.3369,625.64166,498.84265,650.8077,921.95624,524.91205,479.96628,995.9918,724.53107,706.5018,802.7588,590.199,809.4743,875.4353,1242.1615,851.38416,771.4693,500.62964,4596.815,4631.7383,2717.3962,2426.3398,2696.1538,4794.259,4365.188,4370.711,3018.8708,2780.4873,2842.4275,4845.083,5745.131,5191.031,3355.6824,2789.597,2820.5876,4930.37,5986.979,5872.116,3271.6375,2755.6194,2772.1113,6478.6216,5585.8506,5749.1836,3391.8267,3572.5303,4284.431,6249.284,6748.5576,6408.49,2949.8796,2576.1243,2359.3145,5973.4404,3813.3171,4634.776,2693.9592,2627.9463,2909.9363,5012.978,5273.8096,5400.027,2971.9756,2831.8904,2522.3604,5712.402,6113.878,5828.119,3452.745,3712.8843,2713.879,5899.943,5976.503,5888.263,2456.988,2561.5254,2767.3472,6058.5264,5934.044,6375.531,2677.1072,2966.5813,3158.7346,6627.306,6709.0913,6605.717,3488.032,2898.4846,2914.2407,4743.1357,3971.0698,4024.7102,3123.9714,2982.3245,3016.2332,3846.851,5265.8735,5194.9795,4124.702,3836.3596,3459.6355,4898.4883,5085.1055,5046.196,4830.7725,4469.0166,4711.9775,4435.0874,4990.6533,5671.3066,3076.1826,3040.2432,2799.5178,6480.918,6363.303,5899.707,3105.3638,3154.849,3156.9873,5721.6724,5699.7866,5298.215,2512.0217,2348.4583,2356.2402,5401.223
102.152,174.31161,705.8576,833.9485,230.3758,155.30916,634.0952,784.6689,181.04576,232.61806,219.44342,226.80063,733.3184,196.76231,722.6967,177.38081,211.62753,178.32774,225.64702,379.0248,391.1036,412.072,400.93954,397.7051,392.60098,427.28464,430.2767,444.38712,425.3308,425.84476,424.79715,410.61816,394.05795,394.23938,379.95203,374.12445,377.3312,425.25943,434.03973,429.31433,400.2438,395.96167,421.1819,372.2377,364.0519,339.11453,324.85562,320.9576,350.1106,438.39566,431.3017,433.15155,387.13574,381.55655,386.19305,408.6068,396.07242,410.2419,385.04184,377.19058,376.11148,441.55234,440.63214,445.46997,431.35315,424.59088,428.87582,400.94827,406.19193,407.69888,377.79654,379.11044,395.03137,431.912,431.64645,432.029,417.8822,415.58047,424.3488,411.79376,401.65363,404.3416,391.642,380.11774,400.86197,334.175,336.6834,319.38507,325.51096,322.03696,349.6153,414.8994,416.4673,405.93393,401.1486,405.10883,410.5622,427.3101,424.33386,448.8258,430.2959,431.6173,415.3225,379.05356,388.02505,395.62924,388.99835,391.62674,377.4004,410.37238,408.65823,426.14502,408.267,409.54068,409.40497,367.02762,350.8465,354.01367,334.99448,333.0015,332.3641,452.35092,453.58887,456.01892,407.24152,390.17587,408.26782
104.146,726720.94,1035351.4,1111590.0,806774.3,652502.6,1184429.6,1042434.6,736976.56,821480.9,847868.3,829693.06,1116475.1,688442.44,1040237.5,667818.5,808097.75,686338.4,852590.3,17857.281,19400.785,13993.941,13413.115,15115.139,17583.531,21035.29,21417.742,16124.758,17429.482,17939.47,21318.953,25653.73,22969.12,17468.836,16595.377,16076.7295,19410.582,19115.031,20433.8,14613.844,14028.379,12329.39,20091.201,20124.309,21283.578,15477.122,18326.154,20232.393,22257.516,24729.82,23849.031,19047.186,17429.943,17019.004,22197.201,17821.223,20352.764,13602.076,14328.191,15268.008,19785.746,21380.17,22617.316,14285.612,15158.076,14853.274,23792.92,24147.924,24466.734,18918.557,16134.813,15078.052,22510.152,20013.467,20510.982,14723.165,13594.821,14211.247,20941.623,21452.254,21623.746,14786.849,14626.866,14224.787,21060.13,17802.6,19399.807,17685.264,18677.932,17837.748,22635.363,19658.438,20095.965,16910.41,16464.715,16357.309,20410.947,21653.479,20154.717,21910.678,22071.79,20768.635,18334.111,22744.701,22911.797,19430.207,18660.68,19328.617,19351.47,15045.721,15953.141,14093.625,14738.061,14050.88,20026.79,22291.686,20586.836,16502.463,17952.402,18009.9,22810.992,22402.895,21913.152,18711.926,17679.822,18142.742,21870.365
116.105,577.43567,2069.736,1812.5375,362.73016,657.01385,2513.6084,1820.5989,583.6721,424.4071,427.42563,414.90652,2530.5872,645.59546,1998.3029,611.2867,422.664,660.074,382.99728,400.37466,410.80264,422.7902,426.7122,425.20685,433.12448,450.45197,454.87653,429.4507,436.7191,439.0887,465.6808,456.3604,435.9478,414.129,405.54205,405.08408,425.01334,439.2515,440.772,393.29718,405.52008,409.1033,465.83066,423.54614,422.70407,411.41092,413.5654,417.39398,438.054,462.8536,451.3116,410.56293,394.4016,393.0322,432.3931,424.3293,422.2995,418.6904,411.66672,409.24265,423.7346,450.3606,452.61737,420.17358,419.91196,412.27393,457.42084,445.6423,444.56027,433.14282,423.0048,412.10696,446.0325,452.6672,452.66678,396.63898,405.12244,406.676,457.04724,444.1388,445.71533,396.7591,404.98593,403.7313,455.96747,405.35226,412.7925,383.76038,403.1186,403.06473,438.49924,457.57935,458.25684,442.17072,438.12927,440.01093,452.49698,424.6679,418.0726,428.60733,427.23135,427.24356,410.14545,424.0255,426.7488,423.86414,414.54907,419.02072,404.3516,396.36868,406.02023,377.8071,413.94818,409.99905,452.54102,426.9929,416.6299,403.4517,407.66388,409.6381,429.69983,461.6979,455.5613,415.4256,404.73795,396.3726,456.96234
118.148,1209.3435,5165.744,4765.8003,1318.0302,1428.1188,6085.076,4708.9746,1209.4512,1193.4469,1405.6544,1309.9045,6254.192,1361.564,5055.4956,1375.8192,1281.6072,1353.8615,1259.1437,572.6627,575.3317,520.2134,494.88284,488.4864,570.36255,631.0593,637.70416,558.6971,522.6297,531.697,631.37103,698.12085,608.18677,480.24734,439.02673,434.9549,553.48706,764.9309,738.3412,527.5968,480.9184,492.86057,723.3749,613.3765,623.4957,543.52094,562.30054,603.3743,688.4917,828.66425,814.57306,636.0226,572.65485,551.34094,760.868,561.9583,592.14777,500.92603,458.00894,458.3963,571.53186,696.95874,701.6363,545.9568,521.57,506.61105,691.65076,672.5739,661.64746,521.57526,490.53458,445.2883,640.18805,731.9089,722.0315,553.54553,537.1027,523.3412,714.72107,670.4361,689.19434,486.01443,495.77634,496.48813,720.34717,708.3513,724.3995,555.92004,536.0553,528.8829,661.9255,625.02606,643.225,517.35406,497.74136,503.82117,606.903,685.3454,687.05316,636.7942,583.98865,570.7584,660.1512,592.884,597.1447,568.06384,531.1935,548.06006,534.6044,675.6139,706.7636,551.0364,542.79517,527.58685,738.64374,727.1864,686.9415,520.31384,526.2972,528.55347,685.9405,757.818,739.1364,580.5628,529.36523,515.38116,676.9801
120.141,84.76875,364.67294,328.54227,119.23959,86.90283,458.74548,330.63687,86.57883,96.724335,117.262825,102.649025,470.55682,91.13625,349.53516,85.659615,111.82978,87.68646,102.18677,69.445946,70.75413,74.86745,74.93382,73.96662,71.40361,76.05832,76.79098,77.3502,76.39342,76.74408,76.17551,72.311295,70.596565,72.03204,71.629326,71.482,70.134575,72.33528,73.3823,72.125885,70.87766,70.12488,71.42862,68.465706,68.44819,67.02391,66.58389,66.226425,66.65121,70.663895,69.60217,69.179855,65.70363,66.06884,65.427864,71.87336,70.4045,73.26798,72.43626,71.5888,69.48219,77.30608,77.106865,76.92177,75.27255,74.63429,75.19213,70.67239,71.415085,73.403366,70.913246,71.482254,70.66057,75.56495,75.08887,71.524475,70.57853,70.559235,72.70832,70.64961,69.4273,69.27351,68.56236,67.794754,68.52547,64.027054,64.0586,64.38889,65.117676,65.04605,65.19768,75.91204,75.95013,74.976685,74.331375,74.5859,75.61849,72.60642,72.22452,75.496704,74.28743,75.31472,70.2667,70.74986,71.25116,70.967285,70.7574,70.97424,70.71992,69.6624,70.46437,69.74378,69.495415,69.47114,69.03002,66.889656,66.22395,67.709404,66.794586,66.98326,65.05872,74.72688,74.798645,73.03705,69.797806,68.33283,71.20659
132.125,7806.9434,10352.075,9766.796,35869.63,10807.621,13474.526,9339.107,7658.052,32323.191,35177.605,35512.63,12749.315,8095.5254,10127.854,9245.447,32998.887,9518.675,34475.0,2075.706,2093.2905,1789.9656,1676.1012,1710.3162,2111.9395,2139.4265,2138.055,1737.7053,1738.4626,1759.0547,2197.6938,2547.1196,2357.3438,1838.5481,1718.7208,1701.591,2208.9895,2429.0852,2330.8752,1668.2106,1700.4071,1744.2255,2531.6313,2288.72,2372.1304,2147.1233,2248.005,2442.4978,2647.9253,2750.4465,2683.761,2034.1554,1982.0112,1982.1646,2647.0981,1989.4563,2178.862,1763.8265,1718.5404,1758.9274,2215.788,2210.3171,2232.9773,1641.9403,1655.5375,1615.0234,2325.5942,2551.136,2499.3445,1908.9473,1892.652,1685.666,2435.3198,2334.9219,2310.535,1687.175,1749.2073,1775.1675,2431.8215,2437.2305,2578.5457,1781.3921,1867.91,1872.0482,2686.8486,2607.912,2700.055,2155.7573,2054.127,2013.112,2556.7112,2121.713,2143.0593,1805.998,1772.2402,1773.4363,2072.2126,2252.7837,2195.563,2053.366,2009.5879,1922.0431,2136.6208,2264.6885,2268.0637,2138.679,2012.2512,2083.862,2015.352,2117.2983,2209.9736,1717.1837,1896.9957,1848.3689,2588.722,2671.5068,2585.081,2011.6433,2102.131,2113.6157,2694.0977,2415.8767,2335.0107,1877.3723,1844.8497,1875.5663,2412.806
140.122,650.345,2468.0251,2833.6687,871.5895,786.78253,2836.3672,2662.6968,656.97864,787.3888,907.3226,883.9918,2684.7776,655.60144,2603.3816,714.8579,806.6769,785.63184,897.8936,568.13434,571.3517,519.8283,497.83896,510.54337,571.53345,633.59326,636.9714,667.0076,605.8448,604.12445,635.28345,605.92645,571.6857,547.67804,520.5564,506.73874,547.6333,802.0352,772.3449,681.0436,638.534,658.36475,784.1681,680.8551,666.50836,635.6849,638.43365,658.2574,723.1177,866.90845,863.02484,866.06305,784.1972,766.69403,789.27057,580.5095,586.2622,538.91864,510.3712,509.1395,564.75793,737.0966,739.6708,710.0545,687.36334,674.6755,725.0425,654.51385,652.3003,577.8792,548.12036,523.3816,641.2264,780.33887,775.4172,865.07043,789.7642,743.02856,767.49255,734.8674,727.54193,680.19653,654.6433,633.8901,766.773,693.5672,711.1843,637.17694,625.5494,615.1796,712.4502,526.64014,528.4942,517.43036,518.01654,525.1687,517.77136,715.9746,736.53894,713.2274,671.164,656.79126,755.4711,578.00665,583.8997,624.28174,604.8207,610.0665,580.2395,788.1258,763.027,766.9707,705.70386,696.8126,781.5786,741.1304,700.7548,630.03406,616.7016,606.84375,686.8871,856.9833,870.7179,889.07336,776.96045,737.5397,770.0871
147.12,4980.085,8962.89,8452.912,5378.5728,7077.5615,13016.873,8040.97,4722.421,4945.821,5666.191,5334.455,13242.393,5901.05,8507.92,5469.5146,5320.052,6412.9766,5228.1343,2914.1926,2970.328,3110.452,3165.1914,3170.4714,3138.2058,3133.8018,3133.012,3024.9233,3157.397,3154.7566,3138.0798,3201.8079,3171.8208,3106.675,3059.2805,3023.1333,3084.6482,2615.9954,2652.6846,2762.5151,3085.6238,3130.3062,3132.9072,2993.4563,3038.7708,3205.2583,3165.8826,3124.33,3082.869,2967.2117,2939.1467,3074.9727,3075.4336,3105.7134,2978.3982,3218.33,3152.9905,3251.4314,3182.2153,3162.1458,3125.0024,2844.0857,2871.4373,2943.5874,3032.8167,3030.5403,3012.055,3144.7332,3141.9324,3228.612,3098.1477,3092.1953,3145.0352,2789.857,2833.3347,2977.008,3071.3103,3126.9316,3014.8276,3132.7495,3227.808,3186.414,3234.2473,3179.8428,3282.7197,2703.07,2767.0945,2873.757,3048.8381,3014.0935,3116.1846,3216.741,3228.5657,3187.9883,3158.3794,3153.0037,3177.6104,2752.5686,2566.2424,2879.828,2968.5583,2952.8472,2521.281,3149.7473,3134.0366,3103.4426,3033.181,3044.7615,3002.726,2553.8765,2540.2817,2891.55,3372.2605,3361.6914,3326.9133,3013.0227,3008.0842,3209.0315,3164.2334,3188.4036,3078.1335,2957.448,2956.8745,3196.739,3205.1443,3174.798,3212.0105
