meta.name,Peak area - S10_GoatLiver_4 - No Normalization,Peak area - S11_ChickenLiver_3 - No Normalization,Peak area - S12_ChickenLiver_4 - No Normalization,Peak area - S13_ChickenHeart_5 - No Normalization,Peak area - S14_GoatLiver_5 - No Normalization,Peak area - S15_ChickenLiver_5 - No Normalization,Peak area - S16_ChickenLiver_6 - No Normalization,Peak area - S17_GoatLiver_6 - No Normalization,Peak area - S18_ChickenHeart_6 - No Normalization,Peak area - S1_ChickenHeart_1 - No Normalization,Peak area - S2_ChickenHeart_2 - No Normalization,Peak area - S3_ChickenLiver_1 - No Normalization,Peak area - S4_GoatLiver_1 - No Normalization,Peak area - S5_ChickenLiver_2 - No Normalization,Peak area - S6_GoatLiver_2 - No Normalization,Peak area - S7_ChickenHeart_3 - No Normalization,Peak area - S8_GoatLiver_3 - No Normalization,Peak area - S9_ChickenHeart_4 - No Normalization,Peak area - S10_QCS_1 - No Normalization,Peak area - S10_QCS_2 - No Normalization,Peak area - S10_QCS_3 - No Normalization,Peak area - S10_QCS_4 - No Normalization,Peak area - S10_QCS_5 - No Normalization,Peak area - S10_QCS_6 - No Normalization,Peak area - S11_QCS_1 - No Normalization,Peak area - S11_QCS_2 - No Normalization,Peak area - S11_QCS_3 - No Normalization,Peak area - S11_QCS_4 - No Normalization,Peak area - S11_QCS_5 - No Normalization,Peak area - S11_QCS_6 - No Normalization,Peak area - S12_QCS_1 - No Normalization,Peak area - S12_QCS_2 - No Normalization,Peak area - S12_QCS_3 - No Normalization,Peak area - S12_QCS_4 - No Normalization,Peak area - S12_QCS_5 - No Normalization,Peak area - S12_QCS_6 - No Normalization,Peak area - S13_QCS_1 - No Normalization,Peak area - S13_QCS_2 - No Normalization,Peak area - S13_QCS_3 - No Normalization,Peak area - S13_QCS_4 - No Normalization,Peak area - S13_QCS_5 - No Normalization,Peak area - S13_QCS_6 - No Normalization,Peak area - S14_QCS_1 - No Normalization,Peak area - S14_QCS_2 - No Normalization,Peak area - S14_QCS_3 - No Normalization,Peak area - S14_QCS_4 - No Normalization,Peak area - S14_QCS_5 - No Normalization,Peak area - S14_QCS_6 - No Normalization,Peak area - S15_QCS_1 - No Normalization,Peak area - S15_QCS_2 - No Normalization,Peak area - S15_QCS_3 - No Normalization,Peak area - S15_QCS_4 - No Normalization,Peak area - S15_QCS_5 - No Normalization,Peak area - S15_QCS_6 - No Normalization,Peak area - S16_QCS_1 - No Normalization,Peak area - S16_QCS_2 - No Normalization,Peak area - S16_QCS_3 - No Normalization,Peak area - S16_QCS_4 - No Normalization,Peak area - S16_QCS_5 - No Normalization,Peak area - S16_QCS_6 - No Normalization,Peak area - S17_QCS_1 - No Normalization,Peak area - S17_QCS_2 - No Normalization,Peak area - S17_QCS_3 - No Normalization,Peak area - S17_QCS_4 - No Normalization,Peak area - S17_QCS_5 - No Normalization,Peak area - S17_QCS_6 - No Normalization,Peak area - S18_QCS_1 - No Normalization,Peak area - S18_QCS_2 - No Normalization,Peak area - S18_QCS_3 - No Normalization,Peak area - S18_QCS_4 - No Normalization,Peak area - S18_QCS_5 - No Normalization,Peak area - S18_QCS_6 - No Normalization,Peak area - S1_QCS_1 - No Normalization,Peak area - S1_QCS_2 - No Normalization,Peak area - S1_QCS_3 - No Normalization,Peak area - S1_QCS_4 - No Normalization,Peak area - S1_QCS_5 - No Normalization,Peak area - S1_QCS_6 - No Normalization,Peak area - S2_QCS_1 - No Normalization,Peak area - S2_QCS_2 - No Normalization,Peak area - S2_QCS_3 - No Normalization,Peak area - S2_QCS_4 - No Normalization,Peak area - S2_QCS_5 - No Normalization,Peak area - S2_QCS_6 - No Normalization,Peak area - S3_QCS_1 - No Normalization,Peak area - S3_QCS_2 - No Normalization,Peak area - S3_QCS_3 - No Normalization,Peak area - S3_QCS_4 - No Normalization,Peak area - S3_QCS_5 - No Normalization,Peak area - S3_QCS_6 - No Normalization,Peak area - S4_QCS_1 - No Normalization,Peak area - S4_QCS_2 - No Normalization,Peak area - S4_QCS_3 - No Normalization,Peak area - S4_QCS_4 - No Normalization,Peak area - S4_QCS_5 - No Normalization,Peak area - S4_QCS_6 - No Normalization,Peak area - S5_QCS_1 - No Normalization,Peak area - S5_QCS_2 - No Normalization,Peak area - S5_QCS_3 - No Normalization,Peak area - S5_QCS_4 - No Normalization,Peak area - S5_QCS_5 - No Normalization,Peak area - S5_QCS_6 - No Normalization,Peak area - S6_QCS_1 - No Normalization,Peak area - S6_QCS_2 - No Normalization,Peak area - S6_QCS_3 - No Normalization,Peak area - S6_QCS_4 - No Normalization,Peak area - S6_QCS_5 - No Normalization,Peak area - S6_QCS_6 - No Normalization,Peak area - S7_QCS_1 - No Normalization,Peak area - S7_QCS_2 - No Normalization,Peak area - S7_QCS_3 - No Normalization,Peak area - S7_QCS_4 - No Normalization,Peak area - S7_QCS_5 - No Normalization,Peak area - S7_QCS_6 - No Normalization,Peak area - S8_QCS_1 - No Normalization,Peak area - S8_QCS_2 - No Normalization,Peak area - S8_QCS_3 - No Normalization,Peak area - S8_QCS_4 - No Normalization,Peak area - S8_QCS_5 - No Normalization,Peak area - S8_QCS_6 - No Normalization,Peak area - S9_QCS_1 - No Normalization,Peak area - S9_QCS_2 - No Normalization,Peak area - S9_QCS_3 - No Normalization,Peak area - S9_QCS_4 - No Normalization,Peak area - S9_QCS_5 - No Normalization,Peak area - S9_QCS_6 - No Normalization
260.186,2046.3038,3027.7844,2279.772,-335.3219,2014.5723,2503.5576,2374.15,2249.3918,1333.4312,-599.8696,123.5705,2528.0842,2039.0817,2314.902,2302.8599,4.7253666,2815.5144,285.10455,14188.289,14210.421,9740.164,9677.405,10933.549,15599.185,12853.8125,12667.033,10199.071,10516.717,10363.809,13965.371,15833.502,14160.793,11190.907,9911.443,9934.5625,13482.006,16169.472,15654.131,11424.956,11381.151,11470.463,17851.502,15142.958,15227.837,12582.952,12003.299,13271.537,16532.355,18596.615,17803.21,13046.666,11423.402,10344.216,16820.225,12852.077,14530.535,9406.318,9876.486,10946.899,15658.948,16345.407,16552.945,12082.331,11869.732,10542.245,17283.717,18002.072,17402.953,12989.376,12514.168,10644.633,16959.994,19521.354,19127.781,12578.139,12105.188,12757.104,18649.258,17476.646,18002.111,11556.277,11866.399,12352.866,17904.309,17931.22,18227.125,12860.964,9430.176,9339.547,15305.767,11469.294,11629.48,10885.301,10285.5,10427.48,10977.887,12530.903,11576.767,12849.591,11199.767,10540.754,9906.882,13797.209,13208.056,14241.03,12707.142,13343.853,11751.573,13990.452,15201.423,10269.425,12456.006,12141.364,19576.652,16676.543,16393.887,10671.913,12004.29,12069.394,18353.672,18724.156,18293.494,13030.889,11677.772,11033.584,18766.234
267.187,1292.4291,847.35803,849.0842,1095.2877,973.0984,832.262,785.77423,1347.4093,1279.6896,1008.0943,911.998,686.147,1105.0968,686.95667,1466.3126,983.8069,1240.0927,801.95416,8099.889,8159.818,5258.1084,5426.303,6301.33,9348.162,7029.983,6969.003,5428.3496,5522.1465,5397.3066,7793.354,9138.271,8358.484,6340.7407,5362.893,5350.9355,7942.7886,9139.137,8962.658,6466.337,6434.813,6411.972,10870.14,9369.582,9518.63,7168.272,6700.9575,7552.038,10116.383,10307.444,9731.131,6366.572,5224.174,4647.664,8897.549,6872.5693,8034.7383,5009.065,5453.848,6167.6777,9013.102,9574.952,9776.732,6765.1597,6711.684,5767.296,10266.289,10417.673,10098.29,7267.857,6890.005,5615.2803,9932.553,11003.245,10755.312,5668.5786,5820.11,6543.9697,10607.79,9908.58,10511.343,6135.0605,6712.0166,7148.219,10586.953,10446.752,10423.354,6775.7837,4704.9126,4744.453,8143.8403,6123.821,6297.0054,5679.186,5649.58,5704.3486,6145.763,6953.306,6388.751,6914.568,6045.141,5632.977,5534.1343,8354.066,7948.263,8382.37,7403.279,7836.22,7031.7437,8247.259,9157.355,5564.3896,7118.503,6950.8154,11879.031,9207.943,9178.864,5625.014,6556.845,6619.4414,10696.392,10500.467,10168.467,6379.3706,5373.273,5027.884,10626.849
102.152,166.89307,780.52594,809.0917,141.57431,176.3035,839.94763,771.7904,200.77129,218.96289,196.62029,225.70732,1126.4546,188.45198,729.96796,233.72472,190.82832,220.22536,167.2247,776.9691,805.86273,880.0037,755.42993,731.28394,728.93695,744.57,732.6995,820.1062,711.295,705.83575,681.701,706.1561,664.2861,684.59735,606.68427,581.7684,574.80426,949.27673,926.3742,888.4622,845.92065,852.0728,880.2884,731.9747,706.54865,731.4463,630.8574,613.98755,675.52734,933.82574,924.0599,951.7459,814.2766,782.4898,791.3282,885.8586,835.2523,880.93854,748.55835,707.6021,702.10034,942.2829,931.15326,960.17255,921.0882,908.28253,896.43713,743.96954,753.57385,763.877,663.37634,667.2101,689.76746,1004.03143,985.2492,1067.2985,939.64124,902.95276,938.6192,914.08594,868.0029,891.6223,802.23926,746.6911,815.3942,636.631,658.2227,624.958,561.159,556.7138,664.6279,933.40894,929.743,905.6856,801.944,815.88995,822.4001,880.35596,877.9512,931.39124,837.17914,828.8966,858.0575,725.57874,745.9591,811.0395,732.46484,753.32983,689.24475,837.00916,844.896,927.3739,926.82336,917.5032,916.7903,919.7914,879.5006,907.0326,739.15424,718.3046,721.8617,976.87946,978.6114,1016.22675,883.34973,838.03845,857.2951
104.146,261725.61,487173.12,505733.56,477887.22,294535.66,605131.75,469189.22,257221.11,368185.22,542402.06,403873.7,722656.94,289817.56,454608.8,243464.42,444649.62,308872.97,451988.06,17843.57,17341.268,13550.408,11864.298,11613.213,14615.37,15185.585,14142.141,10886.383,11470.461,11578.335,14354.824,16267.146,15520.674,13437.016,13662.951,14326.994,15409.621,16321.968,14056.164,10910.729,9896.967,10213.009,14552.617,13839.237,14029.15,14446.126,16071.778,16683.926,16096.475,14915.938,14379.096,10352.973,12201.75,12642.827,14905.463,16722.21,18037.254,14097.513,13196.01,13366.847,16373.44,15674.967,15028.912,12299.862,11605.219,11746.503,14445.899,19169.854,18969.045,15087.382,12811.63,11852.468,15560.09,18430.232,18072.604,17441.086,14008.341,13680.458,16888.627,17643.895,18802.135,16703.21,17194.676,16639.02,18775.387,16538.42,17271.895,16572.65,16506.844,16747.182,18956.29,15103.387,14640.486,16442.777,12221.03,12483.446,13147.127,16137.602,15096.243,15114.804,11132.159,10619.015,12652.0,16645.002,16376.709,16794.13,14963.208,15202.729,14066.142,14676.281,14905.814,13964.188,12208.413,12204.537,16468.445,21198.486,21436.654,16793.95,14373.707,14630.43,18273.781,14147.574,14304.359,11949.702,13993.423,13322.394,16271.85
116.105,271.81815,1192.4127,1078.8787,142.83656,350.8179,1569.8246,1046.4789,279.35422,156.1538,76.9233,136.60915,2020.218,332.64297,1015.6653,294.60083,154.01025,373.81964,152.01562,446.7304,455.50052,467.06732,405.0618,397.51425,424.54617,423.42075,413.25946,417.83304,381.04523,379.12878,394.82812,423.3538,401.37848,391.62924,366.76086,364.85754,376.94473,494.74472,472.68268,417.66782,419.4927,430.74942,476.486,406.51755,403.4694,429.3225,403.5921,405.7655,415.58524,486.44907,478.7633,456.8393,398.48462,387.47913,421.86316,491.42316,475.03595,473.847,406.57278,397.7187,409.37057,495.6987,490.0647,475.23883,459.44357,447.05475,480.91174,438.3584,436.70657,422.62204,388.42667,378.15762,404.24548,521.336,511.5231,483.6427,444.91608,442.23196,494.30487,477.99756,474.56174,439.96204,431.83173,425.0003,469.86975,395.38293,403.97137,377.1719,367.73026,370.10397,420.31732,522.0462,517.1525,511.43762,450.1695,456.9102,453.19247,431.41382,420.90894,456.89072,419.54758,415.2536,413.60568,416.27753,414.58688,451.64478,416.1033,423.51135,391.48068,416.05066,428.1016,423.5604,451.1979,452.58966,496.78033,507.6072,489.02866,481.75067,418.06577,415.54352,438.82538,503.74124,502.17883,479.15665,425.3181,407.17337,462.475
118.148,629.6078,2920.2002,2702.01,824.25653,805.2376,3784.8457,2593.9946,633.2582,623.1147,553.3617,528.904,4926.5117,747.4421,2529.5593,640.29614,687.4906,837.7327,786.7831,745.3265,752.7645,660.4212,575.7144,595.1501,736.8247,648.29584,633.20886,594.4238,562.67236,558.92957,658.272,753.06775,668.0898,566.0952,510.05316,508.76767,605.1448,880.9521,845.8216,683.0185,661.323,665.1566,889.0505,728.7867,718.1266,647.42444,607.70215,636.12164,746.14075,951.2964,920.61084,778.96924,659.82697,612.2717,816.5897,761.3569,786.3078,652.6191,572.37103,585.14844,722.83344,904.4412,899.99097,769.913,738.8271,691.7081,897.37915,829.1293,816.17834,667.2166,607.3495,552.3164,757.68115,1032.264,1004.24255,839.17413,742.15405,734.54004,945.4942,883.1436,865.7771,693.2775,664.6108,648.54346,842.6321,775.0277,793.62494,643.42413,516.06525,512.0876,735.85455,789.38354,796.6045,719.8691,611.4298,626.93823,677.195,735.40424,696.4929,760.0762,659.96985,633.9252,630.2002,690.5529,684.59955,738.5182,663.6079,692.0474,621.1278,793.7001,834.4386,679.81244,731.2187,719.2225,953.83307,902.66815,863.45087,685.45557,617.63885,615.08813,808.05646,989.9911,983.14734,821.9739,707.7043,654.5397,922.9586
120.141,41.915436,200.96811,187.51376,60.133446,48.86713,278.6285,178.81786,43.44915,44.946083,42.69075,42.953854,363.26968,48.05423,170.82294,44.55021,52.72321,52.112045,52.699284,67.983215,68.522285,74.29682,65.040665,62.683575,62.132423,65.42567,64.020676,66.28538,60.193085,59.986057,59.303062,63.12803,60.678627,60.601734,57.007214,56.660225,56.522617,72.155914,69.4901,65.92285,64.73523,65.821846,66.01171,59.57419,58.855453,63.60193,59.335613,58.83339,58.597874,66.65412,66.34343,67.69906,61.093662,60.169254,59.482983,75.62155,71.759,75.540276,64.677666,62.09383,60.86267,71.586975,70.49679,72.808365,70.65392,70.44702,68.16842,63.317596,63.377205,64.79737,59.16183,59.25823,59.21915,71.728325,70.83137,72.59001,67.24528,66.45707,68.116005,67.23757,66.220894,67.17371,64.861275,63.317684,64.63687,59.748146,60.327618,60.83293,57.513317,57.66245,59.329666,81.155304,80.19697,79.604485,70.347786,71.25952,70.72178,68.15924,67.2552,70.77315,65.670815,65.76699,65.34763,62.156937,62.660732,66.83036,62.700897,63.265553,59.487976,63.613472,63.98019,69.21728,67.98724,68.11216,67.35584,74.85534,72.166855,75.52014,62.618176,61.802753,61.13505,69.035706,69.288506,71.29164,64.80288,63.104347,63.0203
132.125,4193.541,7060.6587,6988.0024,29867.037,5844.0205,9601.242,6533.2144,4198.915,21663.213,32360.416,24958.533,11557.549,5285.4644,6050.606,4217.9287,28111.48,5846.3853,26284.23,3013.8875,2993.2087,2522.415,2364.9976,2449.254,3052.2505,2673.4385,2623.8542,2439.1191,2394.0334,2384.1152,2771.0632,3067.4517,2848.1152,2483.3547,2252.4546,2232.8127,2621.6523,3251.029,3136.0837,2616.5508,2668.544,2713.03,3531.347,3026.1099,3019.318,2861.889,2660.838,2792.9253,3205.0872,3644.0269,3539.301,3045.6362,2750.9927,2603.4468,3320.047,2880.175,3035.2375,2547.3308,2425.4253,2483.3523,3022.4878,3312.8,3325.3647,2878.8154,2809.7236,2674.078,3406.5303,3381.8994,3313.4211,2741.3774,2567.7146,2341.3574,3159.2607,3891.3477,3814.9778,3366.2046,3009.555,2979.789,3701.0093,3556.9988,3570.2808,2916.5383,2866.3577,2879.5396,3565.6826,3248.2449,3315.1716,2696.7285,2198.5837,2165.8838,3089.407,2786.5427,2780.7085,2709.714,2420.7974,2450.9338,2611.8337,2695.4414,2614.7546,2892.608,2581.0278,2483.7327,2499.8394,2973.09,2902.2463,3071.8682,2802.021,2900.491,2645.9487,3052.7524,3163.4688,2556.7388,2921.094,2890.1262,3774.699,3362.5278,3312.8745,2777.0383,2761.076,2760.8518,3470.6382,3701.2397,3657.943,3168.2769,2919.0403,2768.98,3667.9958
140.122,549.5568,2529.3806,2501.5286,900.22565,747.5072,2968.8955,2467.4856,633.13446,883.6635,969.5041,866.88226,3492.197,630.1877,2333.9438,747.2001,872.84906,831.0583,978.0229,1426.7933,1485.9814,1491.6251,1367.6119,1368.833,1451.1285,1346.5227,1340.7849,1594.9371,1412.8053,1406.5574,1338.4287,1284.6484,1212.3558,1266.7383,1146.169,1103.4961,1114.3939,1963.0562,1932.0323,1869.6989,1811.5569,1798.5273,1944.8546,1591.749,1514.5969,1454.3976,1285.6655,1250.1694,1466.866,2180.536,2141.9924,2228.695,1941.2289,1855.9308,1857.3107,1552.8398,1516.6636,1507.1627,1386.3994,1337.7671,1410.1665,2017.8259,2013.917,2057.5522,1967.8386,1946.9517,1978.0105,1534.9851,1554.2473,1504.9163,1350.476,1348.7289,1473.6782,2506.4768,2436.892,2912.4448,2333.3025,2135.4119,2209.059,2138.77,1919.3091,2076.1846,1679.761,1492.4746,1736.0319,1374.7577,1431.4155,1418.0897,1158.7401,1127.3203,1435.4816,1452.4998,1466.8391,1432.1353,1327.8186,1347.7073,1410.8213,1792.4113,1826.0538,1876.0637,1675.755,1627.4828,1867.9434,1456.925,1507.9012,1622.6724,1485.598,1545.2065,1445.6646,1956.6506,1946.5979,2001.9012,1994.179,1944.2616,2067.2717,1808.8539,1738.3618,1680.4022,1506.29,1455.8721,1568.0867,2384.1453,2400.9585,2494.542,2208.1685,2048.6978,2131.1995
147.12,2856.1233,7125.773,6682.411,4885.1543,4194.0386,10524.775,6269.975,2881.9846,3651.461,4765.5303,3992.3882,13621.336,3977.6338,5778.2866,3056.3538,4550.3843,4208.1553,4279.5933,4316.268,4352.5303,4603.2686,4042.6606,3926.3313,4018.9873,4111.857,4027.351,4179.571,3842.5857,3827.3765,3746.7014,3870.3828,3813.047,3984.1018,3669.4844,3581.7869,3494.3381,4339.771,4145.5464,4009.9321,4331.567,4476.354,4445.3066,3899.4841,3884.9504,4507.765,4056.6929,3952.8647,3952.8757,4415.855,4407.893,4680.931,4236.472,4180.9214,3976.049,4796.927,4541.5454,4920.26,4255.4517,4073.1501,3925.7495,4339.3267,4301.856,4552.882,4452.0444,4482.607,4285.9526,4040.991,4035.3018,4194.752,3851.426,3850.4287,3802.1628,4634.904,4622.083,5316.1533,4829.169,4736.6904,4630.785,4761.153,4771.313,4949.9785,4719.54,4545.683,4689.375,3633.7104,3732.966,3875.4932,3689.2844,3668.1704,4001.7913,4992.027,4919.3403,4971.3066,4366.8013,4408.434,4334.7266,3994.0647,3920.579,4279.4824,4132.7847,4097.085,4218.4873,4227.537,4194.4414,4565.2607,4233.3555,4278.7056,4012.1804,3681.4417,3672.2544,4283.0737,4786.511,4855.9814,4608.178,4606.484,4533.153,5009.566,4472.0176,4422.78,4206.517,4430.658,4429.432,4875.926,4590.2876,4462.874,4230.708
