sample.name,injection.order,batch
Peak area - S10_GoatLiver_4 - Total Ion Count,4,2
Peak area - S10_QCS_1 - Total Ion Count,1,2
Peak area - S10_QCS_2 - Total Ion Count,2,2
Peak area - S10_QCS_3 - Total Ion Count,3,2
Peak area - S10_QCS_4 - Total Ion Count,5,2
Peak area - S10_QCS_5 - Total Ion Count,6,2
Peak area - S10_QCS_6 - Total Ion Count,7,2
Peak area - S11_ChickenLiver_3 - Total Ion Count,11,2
Peak area - S11_QCS_1 - Total Ion Count,8,2
Peak area - S11_QCS_2 - Total Ion Count,9,2
Peak area - S11_QCS_3 - Total Ion Count,10,2
Peak area - S11_QCS_4 - Total Ion Count,12,2
Peak area - S11_QCS_5 - Total Ion Count,13,2
Peak area - S11_QCS_6 - Total Ion Count,14,2
Peak area - S12_ChickenLiver_4 - Total Ion Count,18,2
Peak area - S12_QCS_1 - Total Ion Count,15,2
Peak area - S12_QCS_2 - Total Ion Count,16,2
Peak area - S12_QCS_3 - Total Ion Count,17,2
Peak area - S12_QCS_4 - Total Ion Count,19,2
Peak area - S12_QCS_5 - Total Ion Count,20,2
Peak area - S12_QCS_6 - Total Ion Count,21,2
Peak area - S13_ChickenHeart_5 - Total Ion Count,25,3
Peak area - S13_QCS_1 - Total Ion Count,22,3
Peak area - S13_QCS_2 - Total Ion Count,23,3
Peak area - S13_QCS_3 - Total Ion Count,24,3
Peak area - S13_QCS_4 - Total Ion Count,26,3
Peak area - S13_QCS_5 - Total Ion Count,27,3
Peak area - S13_QCS_6 - Total Ion Count,28,3
Peak area - S14_GoatLiver_5 - Total Ion Count,32,3
Peak area - S14_QCS_1 - Total Ion Count,29,3
Peak area - S14_QCS_2 - Total Ion Count,30,3
Peak area - S14_QCS_3 - Total Ion Count,31,3
Peak area - S14_QCS_4 - Total Ion Count,33,3
Peak area - S14_QCS_5 - Total Ion Count,34,3
Peak area - S14_QCS_6 - Total Ion Count,35,3
Peak area - S15_ChickenLiver_5 - Total Ion Count,39,3
Peak area - S15_QCS_1 - Total Ion Count,36,3
Peak area - S15_QCS_2 - Total Ion Count,37,3
Peak area - S15_QCS_3 - Total Ion Count,38,3
Peak area - S15_QCS_4 - Total Ion Count,40,3
Peak area - S15_QCS_5 - Total Ion Count,41,3
Peak area - S15_QCS_6 - Total Ion Count,42,3
Peak area - S16_ChickenLiver_6 - Total Ion Count,46,3
Peak area - S16_QCS_1 - Total Ion Count,43,3
Peak area - S16_QCS_2 - Total Ion Count,44,3
Peak area - S16_QCS_3 - Total Ion Count,45,3
Peak area - S16_QCS_4 - Total Ion Count,47,3
Peak area - S16_QCS_5 - Total Ion Count,48,3
Peak area - S16_QCS_6 - Total Ion Count,49,3
Peak area - S17_GoatLiver_6 - Total Ion Count,53,3
Peak area - S17_QCS_1 - Total Ion Count,50,3
Peak area - S17_QCS_2 - Total Ion Count,51,3
Peak area - S17_QCS_3 - Total Ion Count,52,3
Peak area - S17_QCS_4 - Total Ion Count,54,3
Peak area - S17_QCS_5 - Total Ion Count,55,3
Peak area - S17_QCS_6 - Total Ion Count,56,3
Peak area - S18_ChickenHeart_6 - Total Ion Count,60,3
Peak area - S18_QCS_1 - Total Ion Count,57,3
Peak area - S18_QCS_2 - Total Ion Count,58,3
Peak area - S18_QCS_3 - Total Ion Count,59,3
Peak area - S18_QCS_4 - Total Ion Count,61,3
Peak area - S18_QCS_5 - Total Ion Count,62,3
Peak area - S18_QCS_6 - Total Ion Count,63,3
Peak area - S1_ChickenHeart_1 - Total Ion Count,67,1
Peak area - S1_QCS_1 - Total Ion Count,64,1
Peak area - S1_QCS_2 - Total Ion Count,65,1
Peak area - S1_QCS_3 - Total Ion Count,66,1
Peak area - S1_QCS_4 - Total Ion Count,68,1
Peak area - S1_QCS_5 - Total Ion Count,69,1
Peak area - S1_QCS_6 - Total Ion Count,70,1
Peak area - S2_ChickenHeart_2 - Total Ion Count,74,1
Peak area - S2_QCS_1 - Total Ion Count,71,1
Peak area - S2_QCS_2 - Total Ion Count,72,1
Peak area - S2_QCS_3 - Total Ion Count,73,1
Peak area - S2_QCS_4 - Total Ion Count,75,1
Peak area - S2_QCS_5 - Total Ion Count,76,1
Peak area - S2_QCS_6 - Total Ion Count,77,1
Peak area - S3_ChickenLiver_1 - Total Ion Count,81,1
Peak area - S3_QCS_1 - Total Ion Count,78,1
Peak area - S3_QCS_2 - Total Ion Count,79,1
Peak area - S3_QCS_3 - Total Ion Count,80,1
Peak area - S3_QCS_4 - Total Ion Count,82,1
Peak area - S3_QCS_5 - Total Ion Count,83,1
Peak area - S3_QCS_6 - Total Ion Count,84,1
Peak area - S4_GoatLiver_1 - Total Ion Count,88,1
Peak area - S4_QCS_1 - Total Ion Count,85,1
Peak area - S4_QCS_2 - Total Ion Count,86,1
Peak area - S4_QCS_3 - Total Ion Count,87,1
Peak area - S4_QCS_4 - Total Ion Count,89,1
Peak area - S4_QCS_5 - Total Ion Count,90,1
Peak area - S4_QCS_6 - Total Ion Count,91,1
