sample.name,injection.order,batch,group,class
Peak area - S10_GoatLiver_4 - No Normalization,4,2,1,Subject
Peak area - S10_QCS_1 - No Normalization,1,2,1,QC
Peak area - S10_QCS_2 - No Normalization,2,2,1,QC
Peak area - S10_QCS_3 - No Normalization,3,2,1,QC
Peak area - S10_QCS_4 - No Normalization,5,2,1,QC
Peak area - S10_QCS_5 - No Normalization,6,2,1,QC
Peak area - S10_QCS_6 - No Normalization,7,2,1,QC
Peak area - S11_ChickenLiver_3 - No Normalization,11,2,1,Subject
Peak area - S11_QCS_1 - No Normalization,8,2,1,QC
Peak area - S11_QCS_2 - No Normalization,9,2,1,QC
Peak area - S11_QCS_3 - No Normalization,10,2,1,QC
Peak area - S11_QCS_4 - No Normalization,12,2,1,QC
Peak area - S11_QCS_5 - No Normalization,13,2,1,QC
Peak area - S11_QCS_6 - No Normalization,14,2,1,QC
Peak area - S12_ChickenLiver_4 - No Normalization,18,2,1,Subject
Peak area - S12_QCS_1 - No Normalization,15,2,1,QC
Peak area - S12_QCS_2 - No Normalization,16,2,1,QC
Peak area - S12_QCS_3 - No Normalization,17,2,1,QC
Peak area - S12_QCS_4 - No Normalization,19,2,1,QC
Peak area - S12_QCS_5 - No Normalization,20,2,1,QC
Peak area - S12_QCS_6 - No Normalization,21,2,1,QC
Peak area - S13_ChickenHeart_5 - No Normalization,25,3,1,Subject
Peak area - S13_QCS_1 - No Normalization,22,3,1,QC
Peak area - S13_QCS_2 - No Normalization,23,3,1,QC
Peak area - S13_QCS_3 - No Normalization,24,3,1,QC
Peak area - S13_QCS_4 - No Normalization,26,3,1,QC
Peak area - S13_QCS_5 - No Normalization,27,3,1,QC
Peak area - S13_QCS_6 - No Normalization,28,3,1,QC
Peak area - S14_GoatLiver_5 - No Normalization,32,3,1,Subject
Peak area - S14_QCS_1 - No Normalization,29,3,1,QC
Peak area - S14_QCS_2 - No Normalization,30,3,1,QC
Peak area - S14_QCS_3 - No Normalization,31,3,1,QC
Peak area - S14_QCS_5 - No Normalization,33,3,1,QC
Peak area - S14_QCS_5 - No Normalization.1,34,3,1,QC
